, time_stamp (sec),ene,modi_ene
0,0.00268321,173.0,299.0
1,0.00500529,59.0,102.0
2,0.01135489,135.0,233.0
3,0.01393113,83.0,143.0
4,0.02085729,72.0,124.0
5,0.03973905,53.0,92.0
6,0.04110775,50.0,86.0
7,0.05728464,194.0,335.0
8,0.05859665,100.0,173.0
9,0.07264383,194.0,335.0
10,0.07456659,49.0,85.0
11,0.08182766,59.0,102.0
12,0.08366033,136.0,235.0
13,0.09363722,145.0,251.0
14,0.09367664,51.0,88.0
15,0.1043964,157.0,271.0
16,0.10920349,70.0,121.0
17,0.12136448,63.0,109.0
18,0.13647685,47.0,81.0
19,0.14034624,75.0,130.0
20,0.14293791,50.0,86.0
21,0.14977148,58.0,100.0
22,0.15161779,147.0,254.0
23,0.15950033,108.0,187.0
24,0.17231749,87.0,150.0
25,0.18810203,64.0,111.0
26,0.18838881,213.0,368.0
27,0.18889492,66.0,114.0
28,0.18963054,222.0,384.0
29,0.19692514,45.0,78.0
30,0.20108966,120.0,207.0
31,0.21245196,201.0,347.0
32,0.23515712,114.0,197.0
33,0.25415618,160.0,277.0
34,0.25453492,102.0,176.0
35,0.2628858,222.0,384.0
36,0.26451495,198.0,342.0
37,0.26667978,206.0,356.0
38,0.26726214,53.0,92.0
39,0.28013086,188.0,325.0
40,0.28913558,199.0,344.0
41,0.29098046,74.0,128.0
42,0.3064836,56.0,97.0
43,0.31243226,49.0,85.0
44,0.32442159,47.0,81.0
45,0.3271538,86.0,149.0
46,0.33559368,210.0,363.0
47,0.34055334,50.0,86.0
48,0.34723955,61.0,105.0
49,0.35435475,96.0,166.0
50,0.3566108,218.0,377.0
51,0.36072274,52.0,90.0
52,0.37746981,103.0,178.0
53,0.38014664,102.0,176.0
54,0.39071249,225.0,389.0
55,0.3987554,156.0,270.0
56,0.40061299,53.0,92.0
57,0.40813517,199.0,344.0
58,0.41920467,55.0,95.0
59,0.42629289,55.0,95.0
60,0.44481674,94.0,162.0
61,0.44757847,82.0,142.0
62,0.44785209,145.0,251.0
63,0.45420035,109.0,188.0
64,0.45798858,85.0,147.0
65,0.4592015,124.0,214.0
66,0.46206348,247.0,427.0
67,0.46528369,234.0,404.0
68,0.47162261,108.0,187.0
69,0.47869345,99.0,171.0
70,0.47902905,233.0,403.0
71,0.48131349,222.0,384.0
72,0.48867363,56.0,97.0
73,0.49561119,96.0,166.0
74,0.50341175,136.0,235.0
75,0.50582117,201.0,347.0
76,0.51905988,105.0,181.0
77,0.52301581,61.0,105.0
78,0.52333088,55.0,95.0
79,0.5244825,61.0,105.0
80,0.53278007,76.0,131.0
81,0.54148503,157.0,271.0
82,0.54594966,186.0,321.0
83,0.55608759,42.0,73.0
84,0.55712109,106.0,183.0
85,0.55965611,245.0,423.0
86,0.56038057,41.0,71.0
87,0.56889726,102.0,176.0
88,0.56897675,59.0,102.0
89,0.56966265,56.0,97.0
90,0.56990573,50.0,86.0
91,0.57928947,46.0,79.0
92,0.585477,131.0,226.0
93,0.58875867,176.0,304.0
94,0.59270743,245.0,423.0
95,0.60057741,206.0,356.0
96,0.61118313,97.0,168.0
97,0.61425271,49.0,85.0
98,0.6320333,144.0,249.0
99,0.64075514,213.0,368.0
100,0.65796442,192.0,332.0
101,0.65898905,48.0,83.0
102,0.66137766,181.0,313.0
103,0.66868893,66.0,114.0
104,0.69105825,183.0,316.0
105,0.69327205,51.0,88.0
106,0.69777568,100.0,173.0
107,0.71709786,58.0,100.0
108,0.72292047,114.0,197.0
109,0.73252843,58.0,100.0
110,0.73889404,41.0,71.0
111,0.74957327,127.0,219.0
112,0.74964878,233.0,403.0
113,0.76329292,51.0,88.0
114,0.76829135,81.0,140.0
115,0.77518709,197.0,340.0
116,0.77659969,55.0,95.0
117,0.77821764,109.0,188.0
118,0.81265376,112.0,194.0
119,0.81417385,167.0,289.0
120,0.82466786,189.0,327.0
121,0.8298627,51.0,88.0
122,0.83690151,49.0,85.0
123,0.84064579,49.0,85.0
124,0.84185162,120.0,207.0
125,0.84262452,215.0,372.0
126,0.84502106,92.0,159.0
127,0.85593091,46.0,79.0
128,0.85791835,113.0,195.0
129,0.86831647,39.0,67.0
130,0.86911976,219.0,378.0
131,0.87958462,65.0,112.0
132,0.88338961,170.0,294.0
133,0.88798821,53.0,92.0
134,0.88940849,202.0,349.0
135,0.89839335,57.0,99.0
136,0.90517714,142.0,245.0
137,0.91066997,49.0,85.0
138,0.9212373,154.0,266.0
139,0.92555302,55.0,95.0
140,0.93311801,207.0,358.0
141,0.93393616,56.0,97.0
142,0.94517276,210.0,363.0
143,0.97208038,49.0,85.0
144,0.97232919,103.0,178.0
145,0.97851885,240.0,415.0
146,0.98070202,185.0,320.0
147,0.98378958,54.0,93.0
148,0.99835911,49.0,85.0
149,0.99878926,125.0,216.0
150,1.0087936,201.0,347.0
151,1.03373913,193.0,334.0
152,1.04117066,206.0,356.0
153,1.04438153,58.0,100.0
154,1.04445793,140.0,242.0
155,1.05440062,43.0,74.0
156,1.06549979,208.0,359.0
157,1.07266434,64.0,111.0
158,1.07527212,127.0,219.0
159,1.09005922,52.0,90.0
160,1.09405678,194.0,335.0
161,1.09839368,196.0,339.0
162,1.1063251,55.0,95.0
163,1.10635713,45.0,78.0
164,1.11329524,56.0,97.0
165,1.12281963,197.0,340.0
166,1.12288526,54.0,93.0
167,1.13609215,185.0,320.0
168,1.14491464,60.0,104.0
169,1.14590651,53.0,92.0
170,1.14941294,61.0,105.0
171,1.15062965,59.0,102.0
172,1.16511649,136.0,235.0
173,1.18577184,182.0,315.0
174,1.18719824,234.0,404.0
175,1.19125804,52.0,90.0
176,1.19755389,199.0,344.0
177,1.19792512,173.0,299.0
178,1.19926393,212.0,366.0
179,1.20371459,59.0,102.0
180,1.21060743,197.0,340.0
181,1.21188396,42.0,73.0
182,1.21477628,60.0,104.0
183,1.24223081,228.0,394.0
184,1.24351504,103.0,178.0
185,1.24940554,87.0,150.0
186,1.25441406,132.0,228.0
187,1.2808164,200.0,346.0
188,1.28701764,54.0,93.0
189,1.29032089,118.0,204.0
190,1.29500288,146.0,252.0
191,1.29832037,202.0,349.0
192,1.29994362,68.0,118.0
193,1.30008541,55.0,95.0
194,1.3004104,55.0,95.0
195,1.30281788,215.0,372.0
196,1.30338386,47.0,81.0
197,1.31023123,181.0,313.0
198,1.31318722,91.0,157.0
199,1.31485408,397.0,686.0
200,1.31812663,64.0,111.0
201,1.31894904,45.0,78.0
202,1.32895544,108.0,187.0
203,1.34581743,223.0,385.0
204,1.35030583,104.0,180.0
205,1.35053302,185.0,320.0
206,1.35231715,201.0,347.0
207,1.35345514,112.0,194.0
208,1.3545248,139.0,240.0
209,1.39397567,47.0,81.0
210,1.39464627,59.0,102.0
211,1.40283187,42.0,73.0
212,1.40313141,137.0,237.0
213,1.41958251,53.0,92.0
214,1.43025804,102.0,176.0
215,1.44654571,94.0,162.0
216,1.44694448,114.0,197.0
217,1.44906352,227.0,392.0
218,1.456565,46.0,79.0
219,1.45787769,42.0,73.0
220,1.46208215,245.0,423.0
221,1.46508317,196.0,339.0
222,1.46903056,157.0,271.0
223,1.47673511,68.0,118.0
224,1.50015303,44.0,76.0
225,1.50167238,68.0,118.0
226,1.50539158,152.0,263.0
227,1.51161638,110.0,190.0
228,1.51574525,94.0,162.0
229,1.51647428,51.0,88.0
230,1.51813236,232.0,401.0
231,1.52839455,122.0,211.0
232,1.52877956,110.0,190.0
233,1.54171537,179.0,309.0
234,1.54515476,90.0,156.0
235,1.54547328,160.0,277.0
236,1.55540311,198.0,342.0
237,1.55727825,45.0,78.0
238,1.56640157,51.0,88.0
239,1.5734536,87.0,150.0
240,1.57680943,62.0,107.0
