, time_stamp (sec),ene,modi_ene
0,0.09142225,61.0,104.0
1,0.21136608,507.0,862.0
2,0.39162475,68.0,116.0
3,0.47983937,69.0,117.0
4,0.55885487,66.0,112.0
5,0.60710671,98.0,167.0
6,1.09435022,77.0,131.0
7,1.31460105,115.0,196.0
8,1.44483919,170.0,289.0
9,1.69930555,40.0,68.0
10,1.88050261,73.0,124.0
11,2.01242185,224.0,381.0
12,2.16206911,329.0,559.0
13,2.5598316,189.0,321.0
14,2.56593113,53.0,90.0
15,2.58491321,107.0,182.0
16,2.61355661,130.0,221.0
17,2.75643494,82.0,139.0
18,2.75733808,475.0,808.0
19,3.16613033,431.0,733.0
20,3.51189088,248.0,422.0
21,3.61658878,89.0,151.0
22,3.91957103,191.0,325.0
23,4.13495656,212.0,360.0
24,4.25853541,253.0,430.0
25,4.33238211,86.0,146.0
26,4.50653018,51.0,87.0
27,4.96966607,89.0,151.0
28,5.21146977,70.0,119.0
29,5.69730582,79.0,134.0
30,5.77459904,91.0,155.0
31,6.07974398,73.0,124.0
32,6.17387533,67.0,114.0
33,6.17583829,90.0,153.0
34,6.17945394,91.0,155.0
35,6.33326332,187.0,318.0
36,6.34569337,108.0,184.0
37,6.66977474,81.0,138.0
38,7.3101756,122.0,207.0
39,8.10380684,40.0,68.0
40,8.2634506,45.0,76.0
41,8.68972475,197.0,335.0
42,9.3858604,180.0,306.0
43,9.5782617,484.0,823.0
44,9.77752842,178.0,303.0
45,9.96810134,50.0,85.0
46,10.92320652,131.0,223.0
47,11.02949928,122.0,207.0
48,11.24511275,487.0,828.0
49,11.72591567,115.0,196.0
50,12.16490708,533.0,906.0
51,12.5312289,58.0,99.0
52,12.88717116,206.0,350.0
53,13.10972618,69.0,117.0
54,13.25609341,85.0,144.0
55,13.30943439,772.0,1312.0
56,13.3340541,107.0,182.0
57,13.60511721,98.0,167.0
58,14.81055297,93.0,158.0
59,15.08371161,302.0,513.0
60,15.35948878,225.0,382.0
61,15.42937872,210.0,357.0
62,15.51976066,56.0,95.0
63,15.61141439,182.0,309.0
64,15.92314246,49.0,83.0
65,16.02697696,58.0,99.0
66,16.06565301,113.0,192.0
67,16.17366622,47.0,80.0
68,16.27924004,140.0,238.0
69,16.73618198,79.0,134.0
70,17.32481706,457.0,777.0
71,17.61575475,156.0,265.0
72,17.89390938,126.0,214.0
73,17.92602003,57.0,97.0
74,18.03095917,84.0,143.0
75,18.20227764,484.0,823.0
76,18.26577832,92.0,156.0
77,18.68218985,55.0,94.0
78,18.85147575,86.0,146.0
79,19.22099847,78.0,133.0
80,19.23790324,143.0,243.0
81,19.33233824,79.0,134.0
82,19.92477853,74.0,126.0
83,20.24463185,74.0,126.0
84,20.74882252,40.0,68.0
85,21.30921464,54.0,92.0
86,21.32075056,127.0,216.0
87,21.5372714,180.0,306.0
88,21.56542383,62.0,105.0
89,21.65615818,99.0,168.0
90,21.98013006,49.0,83.0
91,22.04085732,465.0,790.0
92,22.14430095,84.0,143.0
93,22.27868957,167.0,284.0
94,22.60356058,73.0,124.0
95,22.69223373,135.0,230.0
96,22.73642308,65.0,110.0
97,23.01866036,48.0,82.0
98,23.1825478,99.0,168.0
99,23.54669015,64.0,109.0
100,23.81948425,397.0,675.0
101,24.02712731,59.0,100.0
102,24.07484632,60.0,102.0
103,24.20950146,71.0,121.0
104,24.29881498,248.0,422.0
105,24.53093658,95.0,162.0
106,24.63918797,74.0,126.0
107,24.6906817,57.0,97.0
108,24.79217376,204.0,347.0
109,25.04677035,243.0,413.0
110,25.26159465,81.0,138.0
111,25.5159128,334.0,568.0
112,25.57376164,70.0,119.0
113,25.61465267,111.0,189.0
114,25.65344346,61.0,104.0
115,25.66303342,102.0,173.0
116,25.89685549,351.0,597.0
117,25.97063085,57.0,97.0
118,26.28416473,101.0,172.0
119,26.73146317,145.0,246.0
120,27.23731895,106.0,180.0
121,27.27792801,102.0,173.0
122,27.55579767,58.0,99.0
123,27.64945016,264.0,449.0
124,27.71868555,350.0,595.0
125,28.82971247,165.0,280.0
126,28.92899297,45.0,76.0
127,29.16194384,114.0,194.0
128,29.38561355,388.0,660.0
129,29.48174824,45.0,76.0
130,29.50841873,60.0,102.0
131,29.52154421,51.0,87.0
132,29.6071211,70.0,119.0
133,29.96031714,91.0,155.0
134,29.9933332,94.0,160.0
135,30.31451418,294.0,500.0
136,30.37936385,500.0,850.0
137,30.40435268,163.0,277.0
138,30.74066147,66.0,112.0
139,31.01630756,109.0,185.0
140,31.1977826,75.0,128.0
141,31.35826118,212.0,360.0
