, time_stamp (sec),ene,modi_ene
0,0.03079759,73.0,124.0
1,0.12503331,91.0,155.0
2,0.13081174,65.0,110.0
3,0.18850419,239.0,406.0
4,0.2296161,76.0,129.0
5,0.28651001,76.0,129.0
6,0.29566494,82.0,139.0
7,0.30679647,501.0,852.0
8,0.31964651,65.0,110.0
9,0.33514118,554.0,942.0
10,0.3559236,73.0,124.0
11,0.35884741,57.0,97.0
12,0.37235807,74.0,126.0
13,0.39904045,43.0,73.0
14,0.46824963,55.0,94.0
15,0.63089254,73.0,124.0
16,0.64040954,72.0,122.0
17,0.77785689,74.0,126.0
18,0.85844769,56.0,95.0
19,0.92425249,69.0,117.0
20,0.9296747,45.0,76.0
21,0.9751097,56.0,95.0
22,1.02722678,73.0,124.0
23,1.056416,46.0,78.0
24,1.09039811,62.0,105.0
25,1.09081019,139.0,236.0
26,1.10470594,76.0,129.0
27,1.24663459,59.0,100.0
28,1.25387914,55.0,94.0
29,1.33464391,70.0,119.0
30,1.35349146,61.0,104.0
31,1.38086787,56.0,95.0
32,1.38483878,76.0,129.0
33,1.39370462,79.0,134.0
34,1.43149925,75.0,128.0
35,1.45019706,72.0,122.0
36,1.48040202,387.0,658.0
37,1.62805801,83.0,141.0
38,1.71160833,129.0,219.0
39,1.78507156,84.0,143.0
40,1.80240661,70.0,119.0
41,1.82360273,130.0,221.0
42,1.82383542,747.0,1270.0
43,1.94491064,210.0,357.0
44,1.96312026,44.0,75.0
45,2.0005707,80.0,136.0
46,2.01333161,79.0,134.0
47,2.10615508,67.0,114.0
48,2.14103812,74.0,126.0
49,2.15626438,75.0,128.0
50,2.18473748,70.0,119.0
51,2.19306519,69.0,117.0
52,2.19902356,54.0,92.0
53,2.20542807,75.0,128.0
54,2.23474348,84.0,143.0
55,2.29892891,76.0,129.0
56,2.3055833,69.0,117.0
57,2.36246364,87.0,148.0
58,2.42672076,64.0,109.0
59,2.45149077,98.0,167.0
60,2.49178701,57.0,97.0
61,2.51610022,79.0,134.0
62,2.54115717,143.0,243.0
63,2.56257499,62.0,105.0
64,2.57755951,67.0,114.0
65,2.57882046,64.0,109.0
66,2.67419622,49.0,83.0
67,2.67633766,67.0,114.0
68,2.68035811,74.0,126.0
69,2.79871212,80.0,136.0
70,2.80398775,54.0,92.0
71,2.83378367,80.0,136.0
72,2.87866037,100.0,170.0
73,2.98815115,158.0,269.0
74,3.05903312,50.0,85.0
75,3.11532107,88.0,150.0
76,3.13278505,74.0,126.0
77,3.27173907,217.0,369.0
78,3.29787432,74.0,126.0
79,3.31049802,80.0,136.0
80,3.3181739,101.0,172.0
81,3.32748092,49.0,83.0
82,3.42229448,61.0,104.0
83,3.4697054,56.0,95.0
84,3.5701637,271.0,461.0
85,3.60992842,51.0,87.0
86,3.61311768,181.0,308.0
87,3.6600803,81.0,138.0
88,3.66823505,73.0,124.0
89,3.68858145,76.0,129.0
90,3.76492985,78.0,133.0
91,3.80204746,75.0,128.0
92,3.81501164,101.0,172.0
93,3.97824685,52.0,88.0
94,4.08070992,60.0,102.0
95,4.19260173,79.0,134.0
96,4.23038075,62.0,105.0
97,4.23745939,53.0,90.0
98,4.3207338,70.0,119.0
99,4.34576223,50.0,85.0
100,4.34904768,78.0,133.0
101,4.44169507,78.0,133.0
102,4.44663076,90.0,153.0
103,4.48893125,59.0,100.0
104,4.49493186,77.0,131.0
105,4.61350304,250.0,425.0
106,4.64744582,54.0,92.0
107,4.66070115,95.0,162.0
108,4.67930309,68.0,116.0
109,4.68310909,65.0,110.0
110,4.73020936,618.0,1051.0
111,4.88502473,80.0,136.0
112,4.91852681,72.0,122.0
113,4.94835337,86.0,146.0
114,4.95101441,153.0,260.0
115,5.06311776,88.0,150.0
116,5.11942163,41.0,70.0
117,5.1317955,60.0,102.0
118,5.15870594,80.0,136.0
119,5.19229639,88.0,150.0
120,5.24899566,61.0,104.0
121,5.3234151,94.0,160.0
122,5.35460001,138.0,235.0
123,5.403724,92.0,156.0
124,5.41276746,78.0,133.0
125,5.41952703,54.0,92.0
126,5.44382184,93.0,158.0
127,5.49353504,104.0,177.0
128,5.50044086,98.0,167.0
129,5.53109618,85.0,144.0
130,5.59368886,56.0,95.0
131,5.5943593,60.0,102.0
132,5.68486058,83.0,141.0
133,5.767479,74.0,126.0
134,5.78505845,77.0,131.0
135,5.81390099,64.0,109.0
136,5.82809137,87.0,148.0
137,5.9809675,82.0,139.0
138,5.98685754,59.0,100.0
139,6.0072326,80.0,136.0
140,6.02853029,75.0,128.0
141,6.06839691,80.0,136.0
142,6.08699164,82.0,139.0
143,6.10897221,67.0,114.0
144,6.19301067,87.0,148.0
145,6.26876099,518.0,881.0
146,6.33973371,70.0,119.0
147,6.35137644,106.0,180.0
148,6.41066784,51.0,87.0
149,6.42440182,68.0,116.0
150,6.4335361,55.0,94.0
151,6.52236242,70.0,119.0
152,6.5316709,67.0,114.0
153,6.60182941,78.0,133.0
154,6.73727632,98.0,167.0
155,6.74657121,97.0,165.0
156,6.76636728,54.0,92.0
157,6.79016477,56.0,95.0
158,6.84877356,74.0,126.0
159,6.86497645,72.0,122.0
160,6.92030462,62.0,105.0
161,6.92409977,76.0,129.0
162,6.96740849,64.0,109.0
163,7.00746269,91.0,155.0
164,7.0268764,424.0,721.0
165,7.11904568,75.0,128.0
166,7.2180123,76.0,129.0
167,7.22567156,85.0,144.0
168,7.27076525,62.0,105.0
169,7.33947215,75.0,128.0
170,7.37588121,50.0,85.0
171,7.39436507,71.0,121.0
172,7.4367944,74.0,126.0
173,7.44181482,350.0,595.0
174,7.46548938,77.0,131.0
175,7.48205171,95.0,162.0
176,7.54977108,60.0,102.0
177,7.57545614,96.0,163.0
178,7.57810914,84.0,143.0
179,7.58201815,74.0,126.0
180,7.61580539,50.0,85.0
181,7.65470093,77.0,131.0
182,7.6806174,119.0,202.0
183,7.71303752,69.0,117.0
184,7.74676678,70.0,119.0
185,7.79397153,89.0,151.0
186,7.81367494,64.0,109.0
187,7.92511815,72.0,122.0
188,7.96438339,59.0,100.0
189,8.04938271,93.0,158.0
190,8.15004391,68.0,116.0
191,8.15280099,46.0,78.0
192,8.20569631,88.0,150.0
193,8.22773285,70.0,119.0
194,8.26526907,82.0,139.0
195,8.29792926,191.0,325.0
196,8.37663368,107.0,182.0
197,8.38794075,349.0,593.0
198,8.45116222,83.0,141.0
199,8.48793764,116.0,197.0
200,8.4900395,46.0,78.0
201,8.52994315,73.0,124.0
202,8.53021297,77.0,131.0
203,8.55008716,87.0,148.0
204,8.62395893,85.0,144.0
205,8.63955045,52.0,88.0
206,8.70152918,408.0,694.0
207,8.70536161,68.0,116.0
208,8.73172077,79.0,134.0
209,8.73331529,83.0,141.0
210,8.75022065,164.0,279.0
211,8.77955946,86.0,146.0
212,8.78185908,84.0,143.0
213,8.84541172,91.0,155.0
214,8.95604162,100.0,170.0
215,9.09372459,43.0,73.0
216,9.1145753,65.0,110.0
217,9.18352094,287.0,488.0
218,9.23520187,127.0,216.0
219,9.35321501,63.0,107.0
220,9.35928986,74.0,126.0
221,9.49159797,88.0,150.0
222,9.57327055,90.0,153.0
223,9.57559422,83.0,141.0
224,9.57873541,45.0,76.0
225,9.62219372,61.0,104.0
226,9.63011384,80.0,136.0
227,9.73073497,87.0,148.0
228,9.73143885,77.0,131.0
229,9.73450587,82.0,139.0
230,9.826033,80.0,136.0
231,9.85059829,89.0,151.0
232,9.90465212,54.0,92.0
233,9.90666528,79.0,134.0
234,9.92120818,89.0,151.0
235,9.94971734,228.0,388.0
236,9.96587974,54.0,92.0
237,10.04430656,82.0,139.0
238,10.06067638,80.0,136.0
239,10.09558723,83.0,141.0
240,10.10075087,74.0,126.0
241,10.17889475,333.0,566.0
242,10.18812904,75.0,128.0
243,10.19279728,59.0,100.0
244,10.28739252,68.0,116.0
245,10.34892936,71.0,121.0
246,10.36184375,58.0,99.0
247,10.44243004,73.0,124.0
248,10.49390459,73.0,124.0
249,10.56032184,78.0,133.0
250,10.60097077,75.0,128.0
251,10.63197766,59.0,100.0
252,10.63207984,71.0,121.0
253,10.69360995,62.0,105.0
254,10.73677516,74.0,126.0
255,10.7523618,75.0,128.0
256,10.87110038,86.0,146.0
257,10.91916889,83.0,141.0
258,10.92268858,64.0,109.0
259,10.9370998,72.0,122.0
260,10.94398286,88.0,150.0
261,10.9763589,87.0,148.0
262,11.0157898,66.0,112.0
263,11.09926367,57.0,97.0
264,11.35111352,66.0,112.0
265,11.38283816,68.0,116.0
266,11.38549723,109.0,185.0
267,11.48390044,65.0,110.0
268,11.54738861,64.0,109.0
269,11.55833413,69.0,117.0
270,11.57567038,84.0,143.0
271,11.64419426,59.0,100.0
272,11.6799223,91.0,155.0
273,11.7382701,175.0,298.0
