, time_stamp (sec),ene,modi_ene
0,0.06566588,147.0,298.0
1,0.12377478,297.0,601.0
2,0.24453006,108.0,219.0
3,0.24896562,69.0,140.0
4,0.270411,140.0,283.0
5,0.43925977,92.0,186.0
6,0.51032451,189.0,383.0
7,0.51315074,65.0,132.0
8,0.55610456,206.0,417.0
9,1.05509014,142.0,287.0
10,1.07197349,49.0,99.0
11,1.11930784,42.0,85.0
12,1.41001009,62.0,126.0
13,1.41373565,67.0,136.0
14,1.62394873,94.0,190.0
15,1.66821278,132.0,267.0
16,1.70903985,121.0,245.0
17,1.75799681,46.0,93.0
18,1.81616165,81.0,164.0
19,1.8457728,56.0,113.0
20,2.01733392,365.0,739.0
21,2.09320001,95.0,192.0
22,2.12568654,224.0,453.0
23,2.20702551,84.0,170.0
24,2.43206569,46.0,93.0
25,2.44749262,119.0,241.0
26,2.62619225,241.0,488.0
27,2.68255675,282.0,571.0
28,2.71233692,230.0,466.0
29,2.76718031,213.0,431.0
30,2.94940326,327.0,662.0
31,2.97307773,94.0,190.0
32,3.13321372,107.0,217.0
33,3.19411574,256.0,518.0
34,3.44913944,137.0,277.0
35,3.45987418,68.0,138.0
36,3.48666438,129.0,261.0
37,3.92429337,44.0,89.0
38,4.05325672,112.0,227.0
39,4.21937187,133.0,269.0
40,4.26374838,51.0,103.0
41,4.31443085,92.0,186.0
42,4.36337884,73.0,148.0
43,4.44228573,138.0,279.0
44,4.56661063,51.0,103.0
45,4.59491268,154.0,312.0
46,4.72443806,344.0,696.0
47,4.82536439,65.0,132.0
48,4.89173285,235.0,476.0
49,4.90387275,131.0,265.0
50,4.9192982,335.0,678.0
51,5.03047186,185.0,375.0
52,5.21813295,329.0,666.0
53,5.22384049,152.0,308.0
54,5.27237266,68.0,138.0
55,5.31673209,44.0,89.0
56,5.31706991,64.0,130.0
57,5.38244503,224.0,453.0
58,5.43071983,173.0,350.0
59,5.55376423,93.0,188.0
60,5.70468908,84.0,170.0
61,5.71905913,134.0,271.0
62,5.83815168,142.0,287.0
63,6.00036595,92.0,186.0
64,6.05057508,360.0,729.0
65,6.10412745,128.0,259.0
66,6.23187776,186.0,377.0
67,6.32401759,516.0,1045.0
68,6.37204049,236.0,478.0
69,6.41033869,425.0,860.0
70,6.42783443,94.0,190.0
71,6.50958751,151.0,306.0
72,6.57901568,147.0,298.0
73,6.73141251,39.0,79.0
74,6.75676591,690.0,1397.0
75,6.75850381,109.0,221.0
76,6.76035664,69.0,140.0
77,6.981192,165.0,334.0
78,7.14898337,51.0,103.0
79,7.22764537,150.0,304.0
80,7.30717913,86.0,174.0
81,7.37437184,84.0,170.0
82,7.48119987,270.0,547.0
83,7.54796662,517.0,1047.0
84,7.59438943,288.0,583.0
85,7.85838617,141.0,285.0
86,7.87479476,151.0,306.0
87,7.96839586,117.0,237.0
