, time_stamp (sec),ene,modi_ene
0,0.02555504,85.0,134.0
1,0.34435544,106.0,168.0
2,0.51735169,106.0,168.0
3,0.59372735,104.0,165.0
4,0.61328363,232.0,367.0
5,0.87227216,102.0,161.0
6,1.01786037,55.0,87.0
7,1.04895061,210.0,332.0
8,1.11087104,414.0,655.0
9,1.2178257,81.0,128.0
10,1.38724165,86.0,136.0
11,1.44557353,441.0,698.0
12,1.69488128,78.0,123.0
13,2.03601524,44.0,70.0
14,2.14606692,88.0,139.0
15,2.40350872,283.0,448.0
16,2.7880101,130.0,206.0
17,3.09026473,305.0,483.0
18,3.96767744,151.0,239.0
19,4.05344618,130.0,206.0
20,4.6054878,65.0,103.0
21,4.62531037,91.0,144.0
22,4.79745029,124.0,196.0
23,4.99009074,645.0,1020.0
24,5.07695351,58.0,92.0
25,5.27013602,51.0,81.0
26,5.27254083,124.0,196.0
27,5.72988482,116.0,184.0
28,5.77612133,163.0,258.0
29,5.98806679,120.0,190.0
30,6.00329356,157.0,248.0
31,6.03438326,60.0,95.0
32,6.1326045,115.0,182.0
33,6.55884742,77.0,122.0
34,6.57553059,55.0,87.0
35,6.5932024,449.0,710.0
36,6.63542513,196.0,310.0
37,6.96775309,56.0,89.0
38,6.98226287,91.0,144.0
39,7.1837436,65.0,103.0
40,7.26630949,115.0,182.0
41,7.79184181,119.0,188.0
42,8.05514951,162.0,256.0
43,8.07480804,55.0,87.0
44,8.19221886,384.0,608.0
45,8.24771525,416.0,658.0
46,8.48656651,114.0,180.0
47,8.91897211,47.0,74.0
48,8.93908331,189.0,299.0
49,9.15529635,187.0,296.0
50,9.32225007,49.0,78.0
51,9.34335087,577.0,913.0
52,9.42054373,281.0,445.0
53,9.42534382,83.0,131.0
54,9.63696399,323.0,511.0
55,9.86578342,563.0,891.0
56,10.08336113,67.0,106.0
57,10.32898938,250.0,396.0
58,10.67631795,78.0,123.0
59,10.72296812,65.0,103.0
60,10.78065612,226.0,358.0
61,10.82130953,186.0,294.0
62,11.02922462,86.0,136.0
63,11.04715654,71.0,112.0
64,11.46319143,48.0,76.0
65,11.51189863,98.0,155.0
66,11.53694365,74.0,117.0
67,11.6326147,176.0,278.0
68,11.75155763,71.0,112.0
69,11.75761357,451.0,714.0
70,11.88736682,130.0,206.0
71,11.92978088,366.0,579.0
72,12.15033578,207.0,327.0
73,12.48713052,121.0,191.0
74,12.63736692,73.0,115.0
75,12.85100392,104.0,165.0
76,12.88999546,58.0,92.0
77,13.30419454,112.0,177.0
78,13.32086867,49.0,78.0
