, time_stamp (sec),ene,modi_ene
0,0.15892921,103.0,175.0
1,0.35816309,76.0,129.0
2,0.4912854,57.0,97.0
3,0.5339596,231.0,393.0
4,0.58190733,95.0,162.0
5,0.90961366,349.0,593.0
6,0.93357327,49.0,83.0
7,0.99215901,70.0,119.0
8,1.21348884,69.0,117.0
9,1.24129406,98.0,167.0
10,1.26403856,58.0,99.0
11,1.42690235,51.0,87.0
12,1.4655748,72.0,122.0
13,1.55063343,64.0,109.0
14,1.55705507,134.0,228.0
15,2.12252127,170.0,289.0
16,2.31822814,118.0,201.0
17,2.42562475,76.0,129.0
18,3.10032636,71.0,121.0
19,3.19148408,184.0,313.0
20,3.44730836,136.0,231.0
21,3.73298509,111.0,189.0
22,3.84847403,97.0,165.0
23,3.9890745,87.0,148.0
24,4.11818693,74.0,126.0
25,4.28596864,85.0,144.0
26,4.39174406,105.0,178.0
27,4.69707362,62.0,105.0
28,4.75230237,124.0,211.0
29,4.90899136,61.0,104.0
30,4.9950762,100.0,170.0
31,5.25577912,78.0,133.0
32,5.2789045,74.0,126.0
33,5.28687513,429.0,729.0
34,5.32499512,53.0,90.0
35,5.44670223,72.0,122.0
36,5.56252259,151.0,257.0
37,5.84518225,169.0,287.0
38,6.36939734,70.0,119.0
39,6.71456169,61.0,104.0
40,6.75681083,216.0,367.0
41,6.80128391,96.0,163.0
42,6.81722131,135.0,230.0
43,6.82593849,111.0,189.0
44,7.12086733,93.0,158.0
45,7.14632047,82.0,139.0
46,7.20415886,90.0,153.0
47,7.33094219,112.0,190.0
48,7.40961123,90.0,153.0
49,7.52666847,83.0,141.0
50,7.58380189,117.0,199.0
51,7.71060437,151.0,257.0
52,7.73806135,65.0,110.0
53,7.89623481,211.0,359.0
54,7.97609338,73.0,124.0
55,8.15260366,52.0,88.0
56,8.30705268,103.0,175.0
57,8.32742046,249.0,423.0
58,8.37702331,102.0,173.0
59,8.54459008,118.0,201.0
60,8.69413311,80.0,136.0
61,8.79222087,65.0,110.0
62,8.83433079,117.0,199.0
63,8.89036793,162.0,275.0
64,8.99409334,43.0,73.0
65,9.00138415,44.0,75.0
66,9.05325494,162.0,275.0
67,9.07640172,177.0,301.0
68,9.61885513,51.0,87.0
69,9.62126994,63.0,107.0
70,9.69099279,171.0,291.0
71,9.74181794,57.0,97.0
72,9.83475982,130.0,221.0
73,10.13977896,57.0,97.0
74,10.14848436,166.0,282.0
75,10.24902453,167.0,284.0
76,10.43105542,73.0,124.0
77,10.46651959,80.0,136.0
78,10.5794553,56.0,95.0
79,10.72345596,63.0,107.0
80,10.74349857,57.0,97.0
81,10.75788313,125.0,212.0
82,10.77936917,202.0,343.0
83,10.86051279,56.0,95.0
84,11.07760563,572.0,972.0
85,11.25251772,195.0,332.0
86,11.27125639,103.0,175.0
87,11.50687417,139.0,236.0
88,11.62533421,132.0,224.0
89,11.62839668,235.0,400.0
90,11.69928784,66.0,112.0
91,11.84705789,124.0,211.0
92,12.02413884,91.0,155.0
93,12.19393708,47.0,80.0
94,12.41603698,73.0,124.0
95,12.52522507,51.0,87.0
96,12.6216052,389.0,661.0
97,12.89421841,171.0,291.0
98,12.9639671,124.0,211.0
99,13.04636319,93.0,158.0
100,13.15360248,109.0,185.0
101,13.19000786,106.0,180.0
102,13.30222474,231.0,393.0
103,13.67611286,109.0,185.0
104,14.10978034,53.0,90.0
105,14.13148868,144.0,245.0
106,14.22332764,203.0,345.0
107,14.37549328,106.0,180.0
108,14.42115085,221.0,376.0
109,14.57957088,96.0,163.0
110,14.65527406,217.0,369.0
111,14.67665464,47.0,80.0
112,14.71872285,63.0,107.0
113,15.1398228,72.0,122.0
114,15.32542138,117.0,199.0
115,15.56055701,227.0,386.0
116,15.72449047,51.0,87.0
117,15.75692326,99.0,168.0
118,15.77543769,48.0,82.0
119,15.85162799,63.0,107.0
120,15.88373949,85.0,144.0
121,16.16724012,83.0,141.0
122,16.44883586,161.0,274.0
123,16.6165707,85.0,144.0
124,16.77350768,77.0,131.0
125,16.94206792,85.0,144.0
126,16.96263017,506.0,860.0
127,17.28175409,105.0,178.0
128,17.32778898,154.0,262.0
129,17.4321277,158.0,269.0
130,17.51440513,359.0,610.0
131,17.52260361,191.0,325.0
132,17.54755001,54.0,92.0
133,17.83409249,108.0,184.0
134,17.89654775,714.0,1214.0
135,17.92431356,147.0,250.0
136,17.98372243,61.0,104.0
137,18.21765128,59.0,100.0
138,18.24318441,231.0,393.0
139,18.47568671,58.0,99.0
140,18.77640333,91.0,155.0
141,18.82765988,85.0,144.0
142,19.05659376,94.0,160.0
143,19.10086325,134.0,228.0
144,19.2851794,86.0,146.0
145,19.47260795,80.0,136.0
146,19.52718824,65.0,110.0
147,19.58401899,122.0,207.0
148,19.61284066,688.0,1170.0
149,19.6226152,112.0,190.0
150,19.70192333,68.0,116.0
