, time_stamp (sec),ene,modi_ene
0,0.06327791,64.0,109.0
1,0.11517298,39.0,66.0
2,0.63564036,151.0,257.0
3,0.80213701,111.0,189.0
4,1.01965817,67.0,114.0
5,1.21057014,87.0,148.0
6,1.41520278,311.0,529.0
7,1.64823165,67.0,114.0
8,2.12150638,60.0,102.0
9,2.22339448,76.0,129.0
10,2.24470848,121.0,206.0
11,2.77781728,58.0,99.0
12,2.79105513,160.0,272.0
13,3.01738981,41.0,70.0
14,3.13414503,99.0,168.0
15,3.34552899,511.0,869.0
16,3.43011438,130.0,221.0
17,3.46333776,394.0,670.0
18,3.47763075,91.0,155.0
19,3.52986567,92.0,156.0
20,3.76640298,116.0,197.0
21,3.83672824,86.0,146.0
22,3.94082746,241.0,410.0
23,4.24308067,190.0,323.0
24,4.40150758,127.0,216.0
25,4.40666384,120.0,204.0
26,4.43009815,71.0,121.0
27,4.61557128,333.0,566.0
28,4.70666617,521.0,886.0
29,4.971909,131.0,223.0
30,4.9985474,79.0,134.0
31,5.43351291,292.0,496.0
32,5.54424496,94.0,160.0
33,6.07920148,281.0,478.0
34,6.33810317,93.0,158.0
35,6.51132972,228.0,388.0
36,6.65986029,78.0,133.0
37,6.66810241,142.0,241.0
38,6.93670653,258.0,439.0
39,7.04597094,47.0,80.0
40,7.3922242,149.0,253.0
41,7.49135177,424.0,721.0
42,7.54317172,149.0,253.0
43,8.11048881,63.0,107.0
44,8.14610539,86.0,146.0
45,8.24387352,39.0,66.0
46,8.27538268,63.0,107.0
47,8.30983281,56.0,95.0
48,8.3620344,229.0,389.0
49,8.46977421,128.0,218.0
50,8.55155757,296.0,503.0
51,8.69833904,87.0,148.0
52,8.70657107,135.0,230.0
53,9.01990668,104.0,177.0
54,9.06655869,85.0,144.0
55,9.13872165,51.0,87.0
56,9.4731193,405.0,688.0
57,11.10160493,110.0,187.0
58,11.198717,290.0,493.0
59,11.33986435,132.0,224.0
60,11.40479089,318.0,541.0
61,11.47798217,62.0,105.0
62,11.51587323,65.0,110.0
63,11.78461237,171.0,291.0
64,11.79459544,75.0,128.0
65,12.01748741,51.0,87.0
66,12.14520696,113.0,192.0
67,12.35221235,167.0,284.0
68,12.55339542,62.0,105.0
69,12.80402217,101.0,172.0
70,12.84694135,162.0,275.0
71,12.84878294,257.0,437.0
72,13.0419824,129.0,219.0
73,13.18042226,89.0,151.0
74,13.18428878,189.0,321.0
75,13.49287012,161.0,274.0
76,13.58745898,249.0,423.0
77,13.76461276,159.0,270.0
78,13.79508546,144.0,245.0
79,13.85508129,122.0,207.0
80,14.19321717,208.0,354.0
81,14.59001922,101.0,172.0
82,14.66180791,50.0,85.0
83,14.93598157,55.0,94.0
84,15.22852595,372.0,632.0
85,15.37026722,50.0,85.0
86,15.55300716,113.0,192.0
87,15.82636035,111.0,189.0
88,15.86959122,71.0,121.0
89,16.21311501,100.0,170.0
90,16.54907704,56.0,95.0
91,16.81852755,80.0,136.0
92,16.87350622,84.0,143.0
93,16.91201652,122.0,207.0
94,17.04498475,109.0,185.0
95,17.45505572,86.0,146.0
96,18.36666987,124.0,211.0
97,18.47796877,48.0,82.0
98,18.8367373,114.0,194.0
99,18.90018243,68.0,116.0
100,18.90152672,165.0,280.0
101,19.01872597,170.0,289.0
102,19.50842422,79.0,134.0
103,19.57099357,237.0,403.0
104,19.97787983,54.0,92.0
105,20.03369719,51.0,87.0
106,20.21126854,49.0,83.0
107,20.30059731,52.0,88.0
108,20.30730399,62.0,105.0
109,20.54229558,107.0,182.0
110,20.65542081,320.0,544.0
111,21.21113862,136.0,231.0
112,21.21536778,51.0,87.0
113,21.60636827,108.0,184.0
114,21.85069995,170.0,289.0
115,22.10442602,45.0,76.0
116,22.24447026,83.0,141.0
117,22.24841765,51.0,87.0
118,22.30186156,83.0,141.0
119,22.40352885,173.0,294.0
120,22.64208039,267.0,454.0
121,22.79503662,188.0,320.0
122,22.80067072,126.0,214.0
123,22.81160116,95.0,162.0
124,22.90558007,68.0,116.0
125,23.05640589,131.0,223.0
126,23.24305355,404.0,687.0
127,23.80438202,45.0,76.0
128,23.86549097,40.0,68.0
129,24.25302827,146.0,248.0
130,25.01430569,47.0,80.0
131,25.09550419,76.0,129.0
132,25.20625416,72.0,122.0
133,25.41443357,83.0,141.0
134,25.49457645,54.0,92.0
135,26.14302465,70.0,119.0
136,26.49634337,97.0,165.0
137,26.59455216,534.0,908.0
138,26.60244458,68.0,116.0
139,26.67643907,89.0,151.0
140,26.68451327,124.0,211.0
141,26.71942296,80.0,136.0
142,26.8069611,74.0,126.0
143,27.01704949,72.0,122.0
144,27.09894901,168.0,286.0
145,27.34070053,104.0,177.0
146,27.82265587,59.0,100.0
147,27.84394215,80.0,136.0
148,27.98799189,50.0,85.0
149,28.04058125,123.0,209.0
150,28.13405561,166.0,282.0
151,28.17745265,59.0,100.0
152,28.94909106,50.0,85.0
153,29.26093614,57.0,97.0
154,29.55956225,75.0,128.0
155,29.78702727,261.0,444.0
156,29.8660072,77.0,131.0
157,29.86849353,373.0,634.0
158,30.01211891,142.0,241.0
159,30.06472031,124.0,211.0
160,30.22559777,96.0,163.0
161,30.25465444,85.0,144.0
162,30.60979948,155.0,264.0
163,30.63414242,66.0,112.0
164,30.63538824,64.0,109.0
165,30.66261544,56.0,95.0
166,30.66855129,140.0,238.0
167,30.71371325,159.0,270.0
168,31.12562072,183.0,311.0
169,31.5464425,367.0,624.0
170,31.5874073,125.0,212.0
171,31.59658249,318.0,541.0
172,31.79356031,99.0,168.0
173,31.81478601,100.0,170.0
174,31.86957943,135.0,230.0
175,31.87279953,105.0,178.0
176,32.24796919,157.0,267.0
177,32.3728924,84.0,143.0
178,32.53839709,321.0,546.0
179,32.74825713,94.0,160.0
180,32.78456612,210.0,357.0
181,32.84915511,64.0,109.0
182,33.11839483,52.0,88.0
183,33.36511205,595.0,1012.0
184,33.67601591,78.0,133.0
185,33.94296924,218.0,371.0
186,34.11097752,454.0,772.0
187,34.58914441,59.0,100.0
188,35.07921692,129.0,219.0
189,35.2726558,69.0,117.0
190,35.27360123,46.0,78.0
191,35.79008791,161.0,274.0
192,35.80622063,57.0,97.0
193,35.88167558,39.0,66.0
194,35.89826463,93.0,158.0
195,36.56683997,137.0,233.0
196,36.66469665,309.0,525.0
197,36.68552217,52.0,88.0
198,36.87217362,101.0,172.0
199,36.98465333,209.0,355.0
200,37.25935286,47.0,80.0
201,37.33577543,53.0,90.0
202,37.43471233,102.0,173.0
203,37.50949413,105.0,178.0
204,37.65852748,124.0,211.0
205,37.76493409,90.0,153.0
206,37.9025694,113.0,192.0
207,38.22369092,196.0,333.0
208,38.24109705,262.0,445.0
209,38.31567198,128.0,218.0
210,38.34357855,294.0,500.0
211,38.6635587,38.0,65.0
212,38.82615803,122.0,207.0
213,38.924112,57.0,97.0
214,39.08335612,57.0,97.0
215,39.12531538,85.0,144.0
216,39.34373243,167.0,284.0
217,39.39744936,59.0,100.0
218,39.50521523,101.0,172.0
219,39.52633727,156.0,265.0
220,39.52751465,52.0,88.0
221,39.69538279,55.0,94.0
222,39.83500193,182.0,309.0
223,39.9291692,145.0,246.0
224,39.94479214,81.0,138.0
225,40.14556427,72.0,122.0
226,40.36374611,115.0,196.0
227,40.94853846,58.0,99.0
228,40.98989804,82.0,139.0
229,41.1207577,282.0,479.0
230,41.15967268,56.0,95.0
231,41.17004559,57.0,97.0
232,41.23841055,191.0,325.0
233,41.51837417,104.0,177.0
234,41.52702807,52.0,88.0
235,41.58769731,60.0,102.0
236,41.61376941,90.0,153.0
237,41.63657715,105.0,178.0
238,41.74417937,62.0,105.0
239,41.81710496,101.0,172.0
240,41.83141197,104.0,177.0
241,42.2747301,87.0,148.0
242,42.62110358,101.0,172.0
