event_numbers, total_energy (keV), ch1_energy, ch2_energy, ch3_energy, ch4_energy, time_stamp (sec)
1,110900,51562,11293,13499,34546,0.28739258
2,668355,205116,107205,267401,88633,0.42229876
3,80786,20970,17820,15673,26323,0.43981328
4,113563,12668,45363,42075,13457,0.55294051
5,156719,24189,53035,23926,55569,0.58146092
6,343329,52358,89254,35317,166400,0.61528139
7,316011,28560,145171,106952,35328,0.72205983
8,50529,4362,20073,4455,21639,0.84218555
9,222713,34801,51846,21414,114652,0.87005335
10,72071,23229,14097,19833,14912,1.13461547
11,82996,12766,19587,7923,42720,1.75095587
12,109345,14288,35318,46427,13312,1.80805687
13,58209,27017,5571,6856,18765,1.91345727
14,70863,10698,21258,8929,29978,2.24262634
15,124705,25401,21996,63566,13742,2.35083658
16,270671,26087,131656,78859,34069,2.39685841
17,72573,15288,21153,15289,20843,2.48563141
18,77106,12960,16089,40107,7950,2.58917892
19,146189,24142,49332,23493,49222,3.42487544
20,174901,53300,23804,20268,77529,3.72377937
21,230507,84828,27398,92328,25953,3.82954477
22,97470,22016,26135,24446,24873,4.32695183
23,119867,16991,38781,48745,15350,4.83183349
24,84271,34906,9895,11201,28269,4.83254617
25,118081,53338,14656,25798,24289,4.84579532
26,323677,27686,133585,133295,29111,4.87241467
27,327930,54034,117432,63126,93338,4.90683875
28,68379,36308,6636,13787,11648,5.18496295
29,284327,126180,38201,53638,66308,5.25232949
30,71831,20610,15188,17721,18312,5.25546643
31,143836,13594,53936,12304,64002,5.29486596
32,158679,30612,47625,28319,52123,5.39945254
33,76742,8440,30902,27951,9449,5.46840826
34,116056,11267,59862,17157,27770,5.47957827
35,49966,7089,18537,7959,16381,5.60375364
36,58065,24451,7577,16138,9899,5.77628760
37,52890,7238,15221,24670,5761,5.91082016
38,263163,68751,62249,67283,64880,5.92435993
39,212581,20317,80222,19768,92274,6.00000284
40,393358,85237,100196,140346,67579,6.24285858
41,373691,78992,75593,40041,179065,6.46414851
42,44586,9253,13617,11679,10037,6.64510391
43,269588,69943,39877,26432,133336,7.00799405
44,100504,30598,11719,48747,9440,7.03049009
45,109003,13046,43399,38049,14509,7.09900875
46,149581,76188,14104,40866,18423,7.15132000
47,107941,8570,44195,46237,8939,7.23286784
48,94940,18534,17588,8630,50188,7.27934539
49,301477,38639,107306,36776,118756,7.76295575
50,60178,25158,7466,18728,8826,7.79507405
51,62161,13401,18333,16193,14234,8.20484380
52,81459,21162,19023,24254,17020,8.28040883
53,74187,9732,26836,9473,28146,8.37547892
54,47900,20568,3596,3561,20175,8.57840206
55,89738,17849,22731,35476,13682,8.74482705
56,157995,28393,37227,73022,19353,8.85006449
57,75428,27081,7468,6958,33921,9.04909460
59,74498,32329,10126,13560,18483,9.19624534
60,144447,41092,30927,41377,31051,9.25947427
61,78424,9258,35626,20521,13019,9.37584763
62,266492,64293,58497,100751,42951,9.52708918
63,514287,60784,231207,136289,86007,9.68653771
64,55089,9560,11227,28886,5416,10.86767127
65,320643,56195,72349,33228,158871,11.10704096
66,290630,36525,124731,84375,44999,11.10958867
67,111378,20568,37038,27633,26139,11.54048183
68,158251,20229,70015,34132,33875,11.64108026
69,690989,128146,188996,279575,94272,11.66716784
70,140046,28576,40834,41695,28941,11.74624530
71,250118,51108,84962,58564,55484,11.85907982
72,242590,107172,28910,36197,70311,12.01181744
73,38364,5241,15586,6749,10788,12.09321550
74,120778,32544,15604,60398,12232,12.73321371
75,81395,23820,13196,10429,33950,12.73450092
76,77559,10409,27477,29291,10382,12.80612786
77,362529,39421,176615,58965,87528,13.04545289
78,124342,66059,11874,22684,23725,13.34872338
79,69272,20854,14179,16748,17491,13.41006176
80,67426,28518,9135,17207,12566,13.46348411
81,61478,15939,12668,23190,9681,13.78375476
82,520957,147817,84056,59084,230000,13.94277776
83,325292,90556,64912,113762,56062,14.28697453
84,188804,26905,75708,54293,31898,14.47908729
85,150521,79042,14901,24310,32268,14.49489296
86,104788,8839,50753,33916,11280,14.65137973
87,44536,7012,12914,19316,5294,14.65403211
88,62790,19010,8177,6710,28893,14.95399203
89,124113,18645,47072,37987,20409,14.96285271
90,317321,69959,81275,60895,105192,15.00983808
91,179329,16504,91272,24074,47479,15.31368625
92,124475,21613,40313,20564,41985,15.41692389
93,133761,13053,47030,11459,62219,15.49033510
94,78555,26810,13284,23218,15243,15.55848882
95,183953,56633,32416,31468,63436,15.55997994
96,113693,19367,39335,22567,32424,15.79020534
97,69064,13502,11655,6248,37659,15.95108951
98,47069,9264,7910,25532,4363,16.12325496
99,116800,34901,18656,47020,16223,16.18009820
100,344879,51773,141707,65304,86095,16.36086153
101,390123,151673,39098,162096,37256,16.50743206
102,138879,60378,17372,21619,39510,16.67736963
103,104017,13277,30415,50088,10237,16.86137571
104,95021,11979,29993,9942,43107,16.97753473
105,76206,38028,7781,18964,11433,17.04746869
106,212017,53676,53267,44915,60159,17.13761284
107,435712,153513,68646,77668,135885,17.15088955
108,68477,6638,35972,14971,10896,17.28424153
109,367933,43978,173966,85034,64955,17.46170860
110,104781,39324,13190,20982,31285,17.65984200
111,279738,54185,78944,98782,47827,17.72230926
112,66524,12140,21639,19814,12931,17.73769972
113,59828,8229,19933,23977,7689,17.74804355
114,405184,122157,84229,106014,92784,17.79246725
115,94470,43209,11560,21269,18432,17.95113052
116,49445,5073,17935,4605,21832,18.22871756
117,52618,13111,12729,18321,8457,18.59014078
