event_numbers, total_energy (keV), ch1_energy, ch2_energy, ch3_energy, ch4_energy, time_stamp (sec)
1,377787,140518,49881,136636,50752,0.00696138
2,81360,9926,37337,20026,14071,0.03106434
3,196287,69514,33877,49378,43518,0.06965197
4,207283,21544,93837,66167,25735,0.12359878
5,348055,37685,173429,64375,72566,0.15630659
6,434342,41966,175839,44432,172105,0.18910717
7,548496,77508,214106,165064,91818,0.22573085
8,269893,40802,107232,72332,49527,0.25194108
9,333434,61253,111710,77039,83432,0.25562137
10,61889,23008,9898,12298,16685,0.27477272
11,232839,42602,73466,77390,39381,0.33577339
12,77926,31237,11022,22696,12971,0.35542634
13,93235,12865,37402,28050,14918,0.41352672
14,143881,49723,19316,18819,56023,0.43745142
15,304210,90504,54737,111552,47417,0.51262076
16,218073,60528,29950,103830,23765,0.58294431
17,105977,12039,41574,13917,38447,0.61824491
18,55556,6145,23343,17850,8218,0.68387788
19,132453,43026,26222,29744,33461,0.70493593
20,55777,7548,24191,12416,11622,0.70979910
21,144122,58033,20339,41849,23901,0.72583817
22,121107,50600,9961,51412,9134,0.73129824
23,175168,60443,18004,14722,81999,0.74140590
24,68941,19152,8899,33759,7131,0.74223067
25,166444,32615,31079,16946,85804,0.76870045
26,123359,24145,33940,45407,19867,0.78613514
27,211423,20404,102324,63584,25111,0.81814309
28,55925,10758,16978,16900,11289,0.84684502
29,46762,8130,14990,16392,7250,0.85195158
30,93214,10854,30451,42739,9170,0.85513148
31,345355,142437,45359,53994,103565,0.86363748
32,348011,44631,158031,69293,76056,0.86738917
33,56257,4405,23785,4421,23646,0.87466917
34,401113,50508,174223,111478,64904,0.93071450
35,250067,94790,40206,51365,63706,0.93492165
36,62075,6221,30589,17431,7834,0.99180767
37,134249,14982,51811,53222,14234,0.99895235
38,271378,73898,46897,114198,36385,1.08134247
39,99403,19249,31744,26627,21783,1.08752190
40,106004,20777,30363,34679,20185,1.10484248
41,53715,18355,5423,4261,25676,1.11627884
42,42373,9029,12721,10377,10246,1.20530799
43,91850,7639,49968,17829,16414,1.23532480
