event_numbers, total_energy (keV), ch1_energy, ch2_energy, ch3_energy, ch4_energy, time_stamp (sec)
1,103332,16182,40468,20144,26538,0.19725089
2,374151,37135,170109,48504,118403,0.24510992
3,56677,26544,6589,13645,9899,0.24817653
4,148830,27507,39172,22421,59730,0.26339259
5,174556,20946,72014,24264,57332,0.49469752
6,419084,111746,65271,47427,194640,0.51233483
7,38121,8577,10754,10047,8743,0.65965526
8,253587,37914,103735,55908,56030,0.80440466
9,375779,91808,66252,49180,168539,1.37028881
10,305611,36670,136433,85562,46946,1.62489551
11,72595,6376,37727,9251,19241,1.68386819
12,73863,22713,9226,7650,34274,2.50780883
13,137766,39964,19800,16021,61981,2.61162567
14,68537,11684,14339,6380,36134,2.99768379
15,37644,14172,3618,16333,3521,3.14411038
16,125339,20270,43564,22608,38897,3.15094290
17,59003,21183,8358,8440,21022,3.28209169
18,188360,83293,24943,46226,33898,3.29112966
19,129530,26355,27582,59874,15719,3.36211087
20,194651,57792,24380,19971,92508,3.48285006
21,321008,118976,32141,139934,29957,3.49309624
22,423659,156130,56655,153686,57188,3.62872014
23,63479,20118,8565,7196,27600,3.78193059
24,41041,4671,16308,12267,7795,3.78881905
25,106692,40221,17076,24226,25169,3.91494916
26,92253,12136,23779,8848,47490,4.20512187
27,184513,66367,28835,58710,30601,4.27946455
28,83186,14303,27538,14198,27147,4.92236797
29,87527,22457,20881,24620,19569,5.23290069
30,115185,28150,29690,32827,24518,5.26408640
31,298221,30691,150108,69343,48079,5.39983332
32,77524,14092,24713,25302,13417,5.44625475
33,93690,8695,44441,30029,10525,5.46204266
34,181073,64202,30420,52937,33514,5.59700067
35,157572,13692,64788,13466,65626,5.63974626
36,94365,20858,20947,39062,13498,6.07612413
37,41903,3531,15733,3391,19248,6.10949750
38,418623,188166,47096,125763,57598,6.39093469
39,273735,141356,28298,50835,53246,6.55194788
40,245932,46845,71210,81997,45880,6.74196880
41,253659,36635,80370,31423,105231,6.79109763
42,183537,60678,24298,22100,76461,6.89711136
43,207541,36939,51145,98578,20879,6.97773902
44,128668,15013,41089,12540,60026,7.03118607
45,276733,103469,36648,99581,37035,7.14365058
46,68335,15107,11098,6492,35638,7.21740232
47,136375,69967,14655,30031,21722,7.34112435
48,193886,48585,33911,93698,17692,7.40296407
49,226040,26757,73094,22379,103810,7.42827605
50,87593,24498,10971,7782,44342,7.75398724
51,88027,14667,22538,40961,9861,7.82352544
52,142508,26344,27929,13896,74339,8.33729442
53,113097,10974,60464,18174,23485,8.76896202
54,322309,154383,32731,92870,42325,8.78716846
55,50390,14506,10851,10758,14275,8.85493532
56,47632,4472,24514,12276,6370,8.88954084
57,282312,58676,49004,143382,31250,9.27942546
58,200712,58015,34486,30001,78210,9.29600502
59,93460,14715,36108,18407,24230,9.37367995
60,244367,25499,117030,70867,30971,9.53706695
61,130717,15911,60763,29400,24643,10.47053336
62,231425,89207,25315,25387,91516,10.50337372
63,34782,2533,14861,2523,14865,10.56222650
64,186129,19648,94457,42046,29978,11.16781796
65,71561,10412,22888,9646,28615,11.18277726
66,99776,26967,14539,10787,47483,11.39818818
67,40139,3294,18675,14501,3669,11.42379629
68,77013,28778,11414,24310,12511,11.50688498
69,58113,26412,5816,18686,7199,11.74949387
70,89636,11058,40510,19107,18961,11.92987672
71,108371,44580,15794,23416,24581,11.97081110
72,283852,80810,40059,130317,32666,11.98889597
73,41710,4361,16448,16607,4294,12.00213825
74,291262,63055,80944,86791,60472,12.26383816
75,81380,28019,14458,17476,21427,12.63977928
76,83183,6896,34766,6129,35392,12.82432028
77,46233,5387,21644,11135,8067,13.47740452
78,50940,9262,10914,5570,25194,13.47895278
79,80116,35399,6745,7064,30908,13.49343859
80,37171,2662,15827,15592,3090,13.64261492
81,139466,34907,23584,16348,64627,13.71410916
82,178658,17215,84629,20889,55925,13.76762902
83,71811,20788,9998,32758,8267,13.77796479
84,204359,42049,51168,77674,33468,13.86037802
85,66769,6769,28448,8518,23034,14.50941707
86,56214,14886,13292,14922,13114,14.88263740
87,66421,15317,18176,15142,17786,15.02135509
88,383305,65950,135028,87197,95130,15.03310916
89,125111,16585,49082,17877,41567,15.15102257
90,63018,7485,27365,19066,9102,15.33916440
91,433262,45962,200127,121478,65695,15.41625830
92,55123,5549,28561,9787,11226,15.56228875
93,386909,136308,65657,109558,75386,15.62726624
94,288404,56828,55459,31293,144824,16.02029789
95,96876,9035,51373,21179,15289,16.02410108
96,220346,90825,20192,20103,89226,16.32124620
97,70912,24433,12704,14785,18990,16.36089852
98,47864,7915,15619,16922,7408,16.40913258
99,252227,56575,70077,71189,54386,16.41207850
100,249905,41801,55120,25035,127949,16.74513984
101,88205,7955,44543,10806,24901,16.80337020
102,478645,81166,115733,209177,72569,16.93731158
103,83051,16039,26701,16978,23333,17.00457661
104,355480,38247,175793,67396,74044,17.01520174
105,178609,17880,89900,45175,25654,17.49072438
106,561252,59229,225111,65591,211321,17.65008812
107,49565,4618,25514,7208,12225,17.65740511
108,42439,4086,21603,5088,11662,17.94509504
109,80234,32212,11314,24366,12342,19.24542590
110,304974,110025,34797,128333,31819,19.43485816
111,210602,97846,21643,36399,54714,19.69548220
112,480711,122708,82759,217349,57895,19.92645138
113,40978,4147,21551,8595,6685,20.32788190
114,67009,12028,13273,35291,6417,20.57347146
115,147142,65332,12221,13453,56136,21.08515087
116,210723,77680,20552,92874,19617,21.31065482
117,61603,6611,28969,16651,9372,21.42455523
118,134467,26265,43297,30582,34323,21.62147964
119,53652,5372,22445,5549,20286,21.65907827
120,224617,41289,45302,21952,116074,22.23678753
121,110629,17041,39493,36355,17740,22.23851952
122,444414,52408,181477,152188,58341,22.37398736
123,90148,21971,13801,45195,9181,22.65352526
124,242419,116813,26218,34169,65219,22.68646036
125,112107,12101,56894,25095,18017,22.85999356
126,65201,14843,17683,17034,15641,23.01897857
127,287298,46051,91715,106331,43201,23.03166051
128,126981,30558,33132,34086,29205,23.24975295
129,571364,101293,157376,232917,79778,23.38626818
130,158127,39817,23542,77847,16921,23.53198917
131,44459,2988,22634,5420,13417,23.66037403
132,62198,27031,6151,22216,6800,24.17998636
133,61243,8856,19389,25456,7542,24.65460690
134,38381,2869,15935,2926,16651,25.20123072
135,225103,91255,20196,18491,95161,25.26360972
136,43757,3620,21189,14867,4081,25.45941237
137,74506,31268,10432,16022,16784,25.55856362
138,55147,19059,5488,25332,5268,25.61981179
139,65942,29525,5087,5698,25632,25.67349347
140,39271,2920,16181,2884,17286,25.88423683
141,76177,7505,40080,12287,16305,25.90000417
142,51037,6673,22153,12197,10014,25.97579975
143,194041,66956,29663,29907,67515,26.04383865
144,58760,28642,6466,13245,10407,26.05784562
145,189866,43443,47269,66417,32737,26.06519206
146,59885,11736,13361,27971,6817,26.09598837
147,56350,20129,7068,23002,6151,26.10401958
148,128447,20196,38651,51538,18062,26.16649809
149,124711,55624,11495,45314,12278,26.31496913
150,202051,59575,28715,90595,23166,26.34124868
151,109510,17319,24957,10442,56792,26.36602924
152,40025,18689,3312,4345,13679,26.62550340
153,93494,12099,30885,10669,39841,26.65453586
154,46964,4454,16414,22147,3949,27.16337690
155,33023,1351,14624,2340,14708,27.55164478
156,54403,22549,7755,11082,13017,27.85953887
157,124700,11519,44054,10656,58471,28.04890926
158,192341,39583,51495,33552,67711,28.24357429
159,86573,39157,10796,19851,16769,28.30859620
160,86907,10001,41513,16696,18697,28.35691027
161,41329,13247,4495,20484,3103,28.39472276
162,56637,19012,8796,8934,19895,28.71969344
163,287098,29307,142370,39125,76296,28.76939799
164,57319,15124,13505,14067,14623,28.79920033
165,52875,18658,8577,15333,10307,28.83803714
166,140230,12407,55854,12071,59898,28.96564862
167,159408,14763,84535,30210,29900,29.04716239
168,666090,131319,177977,111491,245303,29.16859773
169,190633,85898,22793,50500,31442,29.20296206
170,64213,15201,15129,23782,10101,29.25771590
171,94550,31065,16139,31669,15677,29.27602680
172,110661,15805,43960,18354,32542,29.28528459
173,50635,21907,6189,7744,14795,29.39403287
174,50965,9931,16862,10700,13472,29.54526340
175,59653,14804,14468,18406,11975,29.60168265
176,1.03504e+06,311346,213410,146162,364117,30.28943263
177,75517,14302,25244,19907,16064,30.92294466
178,96412,25370,12354,49613,9075,31.05436674
179,367344,39288,181946,65928,80182,31.17580882
180,38967,3246,15802,2832,17087,31.39739751
181,263579,26351,133656,38925,64647,31.52732437
182,37659,14404,3275,2671,17309,31.67847798
183,182876,19711,91759,28784,42622,31.81784117
184,741982,103258,301040,181445,156239,31.85711487
185,215239,60040,45125,67110,42964,31.88011114
186,145678,15611,58869,17420,53778,31.90252044
187,80691,10219,30167,30071,10234,32.07804099
188,62336,30237,5217,20928,5954,32.09818231
189,345164,130421,37875,36410,140458,32.21246313
190,36716,3111,19108,8943,5554,32.22170727
