event_numbers, total_energy (keV), ch1_energy, ch2_energy, ch3_energy, ch4_energy, time_stamp (sec)
1,172642,52294,35490,41632,43226,0.00268321
2,59464,8583,22681,9258,18942,0.00500529
3,134514,13114,71786,23632,25982,0.01135489
4,83388,14372,22849,11462,34705,0.01393113
5,71564,22008,8319,34919,6318,0.02085729
6,53354,17588,9044,18265,8457,0.03973905
7,50207,18735,5893,20453,5126,0.04110775
8,193874,21791,91268,50655,30160,0.05728464
9,100228,7263,44440,39761,8764,0.05859665
10,193906,26910,53505,92496,20995,0.07264383
11,49396,3399,22827,18660,4510,0.07456659
12,58724,8289,19295,7658,23482,0.08182766
13,135585,20610,39238,16814,58923,0.08366033
14,145138,44765,23111,21683,55579,0.09363722
15,51479,10360,8526,28054,4539,0.09367664
16,156679,21293,57169,56638,21579,0.10439640
17,70106,33150,8393,12808,15755,0.10920349
18,62877,30133,7099,11434,14211,0.12136448
19,46618,11386,6869,3823,24540,0.13647685
20,75117,8709,23252,36578,6578,0.14034624
21,50389,14754,7911,21283,6441,0.14293791
22,58476,10716,18186,19965,9609,0.14977148
23,147380,63731,16649,50532,16468,0.15161779
24,107657,24602,22054,46702,14299,0.15950033
25,87014,19746,15837,41032,10399,0.17231749
26,63632,15733,15250,12056,20593,0.18810203
27,212547,76769,21165,19197,95416,0.18838881
28,66401,6953,26887,7561,25000,0.18889492
29,222497,93233,29069,66250,33945,0.18963054
30,45070,12035,8952,17259,6824,0.19692514
31,119719,11739,63815,24169,19996,0.20108966
32,201069,19222,87767,74559,19521,0.21245196
33,114350,40455,17440,38528,17927,0.23515712
34,159925,27729,52901,51406,27889,0.25415618
35,101850,15061,39349,31207,16233,0.25453492
36,221502,77471,34587,74763,34681,0.26288580
37,198135,19159,80722,20766,77488,0.26451495
38,205538,46808,55055,60768,42907,0.26667978
39,52978,14903,6602,26715,4758,0.26726214
40,187709,88441,17494,61668,20106,0.28013086
41,199241,36386,46998,25478,90379,0.28913558
42,73814,8077,25271,7457,33009,0.29098046
43,55889,27854,5999,12588,9448,0.30648360
44,48858,17884,8194,12962,9818,0.31243226
45,47061,13105,10764,10194,12998,0.32442159
46,86169,10423,24864,42853,8029,0.32715380
47,210093,39279,41511,21008,108295,0.33559368
48,49529,26172,4848,10391,8118,0.34055334
49,61190,6800,30706,12272,11412,0.34723955
50,95667,8506,44952,10214,31995,0.35435475
51,217754,86630,32516,58648,39960,0.35661080
52,52416,17231,6669,23286,5230,0.36072274
53,102903,42475,14989,23845,21594,0.37746981
54,102209,27760,22590,30147,21712,0.38014664
55,225329,19014,95540,20158,90617,0.39071249
56,155536,49729,17365,74941,13501,0.39875540
57,53425,4534,23493,20522,4876,0.40061299
58,199408,32747,43570,19319,103772,0.40813517
59,55383,5516,18760,4602,26505,0.41920467
60,54896,4641,28947,13173,8135,0.42629289
61,94159,47021,10315,19285,17538,0.44481674
62,82240,22598,18059,16601,24982,0.44757847
63,144942,25272,34625,17181,67864,0.44785209
64,108652,13519,42008,14237,38888,0.45420035
65,84596,32624,11569,28616,11787,0.45798858
66,123870,62613,13721,21525,26011,0.45920150
67,246815,27365,107291,32879,79280,0.46206348
68,233564,29681,103634,67697,32552,0.46528369
69,108243,16271,31740,47151,13081,0.47162261
70,98774,8369,40481,7561,42363,0.47869345
71,233384,103299,24256,77148,28681,0.47902905
72,221636,33820,74496,79120,34200,0.48131349
73,55838,14127,12826,10210,18675,0.48867363
74,96159,14043,36392,30879,14845,0.49561119
75,135538,29375,26396,65840,13927,0.50341175
76,201235,67949,36118,47809,49359,0.50582117
77,105230,11370,53763,17208,22889,0.51905988
78,60962,30642,6783,10917,12620,0.52301581
79,54798,19447,4953,26170,4228,0.52333088
80,60777,6147,29482,8130,17018,0.52448250
81,76444,8327,35695,21232,11190,0.53278007
82,156552,23983,36567,79715,16287,0.54148503
83,185557,15198,73974,15867,80518,0.54594966
84,42057,14732,7015,8921,11389,0.55608759
85,105607,17441,22285,10062,55819,0.55712109
86,244610,92960,27317,97574,26759,0.55965611
87,41280,3936,21120,5448,10776,0.56038057
88,102233,43973,10220,10667,37373,0.56889726
89,59438,5483,31730,11603,10622,0.56897675
90,56023,29777,4825,14375,7046,0.56966265
91,49726,20962,5288,17200,6276,0.56990573
92,46227,22310,5137,8111,10669,0.57928947
93,130760,20742,28857,12478,68683,0.58547700
94,176106,51661,27871,23582,72992,0.58875867
95,245110,22285,94868,107001,20956,0.59270743
96,205656,58936,26521,20191,100008,0.60057741
97,97216,11862,27641,8532,49181,0.61118313
98,48762,5231,15888,3859,23784,0.61425271
99,143751,13153,61912,55205,13481,0.63203330
100,212521,33894,48857,22809,106961,0.64075514
101,192163,54245,34010,45778,58130,0.65796442
102,47563,7693,10230,25473,4167,0.65898905
103,180564,57513,20798,16522,85731,0.66137766
104,66198,11981,14871,31775,7571,0.66868893
105,183389,96604,18257,34984,33544,0.69105825
106,51118,7597,19824,7873,15824,0.69327205
107,100334,19531,34722,23538,22543,0.69777568
108,58023,21040,6896,24166,5921,0.71709786
109,113854,35230,13674,11029,53921,0.72292047
110,57522,20280,5601,26702,4939,0.73252843
111,41145,3593,17302,3225,17025,0.73889404
112,127336,44598,22303,25839,34596,0.74957327
113,233065,74743,26229,111159,20934,0.74964878
114,50758,5912,16441,4019,24386,0.76329292
115,80510,14162,19585,9663,37100,0.76829135
116,197269,29795,74771,61507,31196,0.77518709
117,54702,5674,27920,10942,10166,0.77659969
118,108742,11206,57137,21070,19329,0.77821764
119,112341,22142,28376,44733,17090,0.81265376
120,167286,27622,57851,53547,28266,0.81417385
121,188773,75887,29048,37668,46170,0.82466786
122,51401,13257,7129,26853,4162,0.82986270
123,48811,10105,13921,12956,11829,0.83690151
124,49292,12446,7694,24059,5093,0.84064579
125,120338,12081,58938,14494,34825,0.84185162
126,215197,24650,68406,19246,102895,0.84262452
127,92479,22590,17100,12320,40469,0.84502106
128,46115,11913,10211,15485,8506,0.85593091
129,113111,46103,16773,28674,21561,0.85791835
130,39230,3869,14432,3504,17425,0.86831647
131,219064,58737,37149,95596,27582,0.86911976
132,64781,8375,27657,17633,11116,0.87958462
133,169848,77175,14566,16531,61576,0.88338961
