event_numbers, total_energy (keV), ch1_energy, ch2_energy, ch3_energy, ch4_energy, time_stamp (sec)
100,80355,24046,12480,33627,10202,19.19289928
1,94485,30484,13550,37889,12562,0.23690756
2,83052,9922,35863,25306,11961,0.32761267
3,45589,12916,9795,9376,13502,0.35415936
4,71556,7377,37569,14766,11844,0.64864341
5,138190,53595,18792,46254,19549,0.85758022
6,70565,22869,11818,24511,11367,1.02373320
7,93651,8069,38308,7486,39788,1.20261610
8,67833,18352,9328,6825,33328,1.96338298
9,41283,3466,20710,12453,4654,1.97186697
10,261960,106386,23430,21815,110329,1.98865604
11,75284,22472,11725,30962,10125,2.05876166
12,496731,170753,71669,185110,69199,2.13814463
13,92973,13789,26862,10932,41390,2.42191421
14,47514,4178,24656,12652,6028,2.61463643
15,105566,18777,24365,12622,49802,2.67894840
16,182631,36890,31682,95580,18479,2.71524227
17,108138,18553,37764,23692,28129,2.89178380
18,160584,31577,30436,14839,83732,2.95626236
19,94247,25989,11824,47697,8737,3.20025998
20,163180,55573,24686,24573,58348,3.59710347
21,126646,12438,64205,32666,17337,3.99595333
22,158901,81825,15325,40597,21154,4.48997713
23,68387,19822,14548,16577,17440,4.59745997
24,61538,8653,20361,24567,7957,4.69563131
25,100806,27295,22738,27018,23755,4.82505939
26,112163,57568,12167,18228,24200,4.90576182
27,87344,46666,8181,18148,14349,4.95115540
28,161437,26776,33166,85625,15870,4.99074538
29,85503,28030,13533,13073,30867,5.18360313
30,107446,32368,12761,9182,53135,5.21544249
31,244902,58354,31781,81858,72909,5.47894461
32,127702,14980,39950,11681,61091,5.50818562
33,216245,46331,36868,22182,110864,5.54442095
34,136669,16552,47072,58505,14540,5.58221248
35,355523,103863,50780,159817,41063,5.71845640
36,67276,16798,10913,7010,32555,5.75661899
37,134051,28359,39223,35012,31457,5.84508583
38,47249,10386,13415,13192,10256,6.10179412
39,238491,107895,28582,38105,63909,6.40449425
40,68998,18276,17021,18584,15117,6.49344600
41,60737,10457,12853,5261,32166,6.67131580
42,76176,28878,11194,23223,12881,7.17163931
43,307487,97236,60088,62800,87363,7.53826338
44,51384,9921,16892,13639,10932,7.60867212
45,451392,66077,187016,94338,103961,8.22605123
46,65933,14847,15767,24740,10579,8.28701663
47,70201,15368,19696,17923,17214,8.42449397
48,130550,15784,60675,24524,29567,8.74675633
49,128591,50252,14173,14195,49971,9.04238764
50,109791,18821,21623,58170,11177,9.20698329
51,126363,34221,16394,63143,12605,9.26966380
52,374359,109709,82775,79979,101896,9.37494559
53,151978,77474,15116,39571,19817,9.99518200
54,105532,17057,24000,54335,10140,10.02055048
55,228131,20410,103664,81745,22312,10.11168054
56,146614,26988,35425,65506,18695,10.41901729
57,103954,38460,13948,14286,37260,10.43589266
58,94979,42404,11947,23799,16829,10.71815390
59,327966,123332,37651,131274,35709,10.74168401
60,61671,28791,7430,11520,13930,10.92163287
61,67906,7771,31052,9952,19131,10.92234901
62,68609,16101,10251,36125,6132,11.16030369
63,100083,9489,49053,11940,29601,11.42827765
64,93705,26118,11417,47972,8198,11.45577304
65,78533,13455,25208,27144,12726,11.55581325
66,101055,26678,22797,30345,21235,11.63811556
67,310205,60491,91346,85760,72608,11.64270810
68,346166,112463,44487,155364,33852,12.07265361
69,98810,14952,27037,45868,10953,12.14972678
70,87539,15534,28250,27024,16731,12.52409263
71,92005,16211,27334,34748,13712,12.60326403
72,247243,34458,106977,57168,48640,12.74111674
73,436968,108244,91993,166435,70296,13.13687963
74,269870,27621,114384,30413,97452,13.31484079
75,337145,67078,88854,126717,54496,13.38154292
76,121019,15635,52739,23581,29064,13.40009146
77,91651,17803,23473,36377,13998,13.56880997
78,55154,13634,14108,13189,14223,13.59961294
