event_numbers, total_energy (keV), ch1_energy, ch2_energy, ch3_energy, ch4_energy, time_stamp (sec)
1,426006,58066,127703,195082,45155,0.14159668
2,86882,34903,12068,25221,14690,0.56672643
3,100179,16624,29811,15666,38078,0.73682629
4,137944,35395,34098,39199,29252,1.20396904
5,51115,26813,4357,6463,13482,1.51487326
6,137856,13789,69983,34241,19843,1.63958440
7,105289,29612,20043,16923,38711,1.82980414
8,137424,19384,40434,62519,15087,2.01628693
9,104849,36634,13922,41447,12846,2.07049236
10,92654,23007,12832,48336,8479,2.08298513
11,164808,70203,13062,13629,67914,2.32174113
12,64862,30385,6485,8069,19923,2.49891947
13,109234,50499,9002,39788,9945,2.53142866
14,74677,17346,18418,12912,26001,2.54864826
15,68896,20025,10865,29306,8700,2.65779918
16,94564,26392,16812,38097,13263,2.79726578
17,348394,145900,47208,96731,58555,2.81412677
18,417464,190668,50352,106893,69551,2.82924160
19,200605,20599,89923,26161,63922,2.94113371
20,72676,8451,25428,31656,7141,3.51921943
21,147079,29234,33721,20178,63946,3.67155203
22,77952,38931,7815,9934,21272,4.02722378
23,52372,4618,28159,8379,11216,4.13380927
24,121261,11419,63645,28174,18023,4.28972807
25,68743,5809,28330,5274,29330,4.32072395
26,199428,60749,35322,72454,30903,4.56437902
27,65843,6842,34704,13692,10605,4.85434860
28,157605,44770,19578,14547,78710,5.03232391
29,295020,123584,25895,26613,118928,5.05541360
30,311741,131271,26978,29579,123913,5.14882077
31,95799,24454,13596,48022,9727,5.67792157
32,71298,25137,11647,13828,20686,5.80547355
33,108436,17269,30357,47925,12885,5.81527932
34,153895,47769,18157,14064,73905,5.98141892
35,282504,117996,33816,38259,92433,6.29120845
36,58085,30510,4941,8440,14194,6.56723338
37,130492,53034,11458,54820,11180,6.79897280
38,733252,161789,202920,223959,144584,7.05066320
39,162398,17290,83900,35123,26085,7.29111007
40,72478,11771,24701,12993,23013,7.52198395
41,92030,8365,37269,6932,39464,7.88801792
42,55730,9305,13208,6040,27177,8.16144744
43,184197,79676,23248,52138,29135,8.27457582
44,180755,18347,63395,82935,16078,8.44636814
45,70051,13078,14514,34714,7745,8.71299640
46,58451,14205,14979,15603,13664,9.01396531
47,95289,15600,26217,11187,42285,9.51116648
48,49453,8067,16591,16235,8560,9.53334126
49,98700,42863,10124,11785,33928,9.64659234
50,94404,20740,24704,30852,18108,9.77973874
51,54083,25803,5237,16247,6796,9.79311494
52,139899,52815,22718,34394,29972,9.89480732
53,305893,71956,81603,73965,78369,9.91301929
54,72668,11569,25175,23576,12348,10.23088842
55,273191,47816,54187,88374,82814,10.82599768
56,173394,81951,14628,17701,59114,10.85876633
57,184491,66222,31458,40890,45921,10.87669344
58,125155,19163,47285,35719,22988,11.05902413
59,52066,24265,5039,16014,6748,11.15339995
60,147995,63717,18379,22945,42954,11.37141045
61,89451,32976,10548,35979,9948,11.50456166
62,271129,27074,137682,64837,41536,11.59198308
63,280345,119352,30995,94268,35730,11.63604686
64,91327,10240,35580,10555,34952,11.64019483
65,110258,48657,10366,10576,40659,11.78979786
66,84377,11739,36009,19629,17000,11.83016165
