event_numbers, total_energy (keV), ch1_energy, ch2_energy, ch3_energy, ch4_energy, time_stamp (sec)
1,73323,9264,25967,8179,29913,0.03079759
2,91467,27635,13280,39378,11174,0.12503331
3,65381,6929,32034,16462,9956,0.13081174
4,239417,62058,42105,106245,29009,0.18850419
5,75575,11744,27883,17888,18060,0.22961610
6,75627,25650,14031,19267,16679,0.28651001
7,81770,10384,27584,32925,10877,0.29566494
8,500973,103408,148153,146493,102919,0.30679647
9,65292,10546,21525,22815,10406,0.31964651
10,553588,164344,88028,227494,73722,0.33514118
11,73126,16170,11501,6530,38925,0.35592360
12,56890,27024,4758,19598,5510,0.35884741
13,74120,6342,32603,6580,28595,0.37235807
14,42908,10053,7483,20608,4764,0.39904045
15,55050,21097,4773,4373,24807,0.46824963
16,73124,35396,5848,8155,23725,0.63089254
17,72029,8925,32298,17974,12832,0.64040954
18,73632,25019,13002,19558,16053,0.77785689
19,55891,13420,10734,7575,24162,0.85844769
20,68851,28570,6538,26924,6819,0.92425249
21,44939,12981,9718,12102,10138,0.92967470
22,56307,15169,11895,10218,19025,0.97510970
23,73334,32069,9720,17314,14231,1.02722678
24,46124,11948,10098,15397,8681,1.05641600
25,62425,13099,17540,12106,19680,1.09039811
26,138625,59998,15148,17805,45674,1.09081019
27,76320,10285,19990,38908,7137,1.10470594
28,59082,4523,28867,19875,5817,1.24663459
29,55110,29721,4804,8304,12281,1.25387914
30,70035,17772,15784,12028,24451,1.33464391
31,60933,24471,6500,7051,22911,1.35349146
32,56206,10033,18787,15609,11777,1.38086787
33,76433,25529,13141,23356,14407,1.38483878
34,79114,32051,8298,8591,30174,1.39370462
35,74861,24162,12529,11895,26275,1.43149925
36,71733,20958,9956,7990,32829,1.45019706
37,387462,176842,49499,83653,77468,1.48040202
38,83364,13143,27278,30465,12478,1.62805801
39,129092,21029,46048,24195,37820,1.71160833
40,84029,21344,18951,29859,13875,1.78507156
41,69824,9481,18785,6140,35418,1.80240661
42,129721,37659,16066,62890,13106,1.82360273
43,747258,92709,287986,265876,100687,1.82383542
44,210409,45246,37680,103281,24202,1.94491064
45,44473,3349,15751,3399,21974,1.96312026
46,80424,42932,7713,13734,16045,2.00057070
47,78678,40325,7643,19124,11586,2.01333161
48,67404,21421,8337,6972,30674,2.10615508
49,73699,12967,15509,7074,38149,2.14103812
50,74824,31604,10832,14844,17544,2.15626438
51,70251,25702,11749,14453,18347,2.18473748
52,69106,11641,18025,7915,31525,2.19306519
53,54362,8071,16903,6597,22791,2.19902356
54,74754,10066,21596,7878,35214,2.20542807
55,83693,10643,23229,7570,42251,2.23474348
56,76069,9196,30367,27203,9303,2.29892891
57,69400,6554,35102,19385,8359,2.30558330
58,86689,10025,41344,18159,17161,2.36246364
59,63887,12832,14853,8393,27809,2.42672076
60,97742,13133,25684,8871,50054,2.45149077
61,57475,6550,18115,5022,27788,2.49178701
62,78636,12538,16419,7317,42362,2.51610022
