event_numbers, total_energy (keV), ch1_energy, ch2_energy, ch3_energy, ch4_energy, time_stamp (sec)
1,146738,26497,49744,40110,30387,0.06566588
2,297255,122195,26158,26058,122844,0.12377478
3,107743,14808,46475,20886,25574,0.24453006
4,68739,33950,7547,14370,12872,0.24896562
5,139971,49536,17694,57293,15448,0.27041100
6,91885,23838,22781,19406,25860,0.43925977
7,188670,24448,70308,24845,69069,0.51032451
8,65179,18287,10250,29471,7171,0.51315074
9,205811,58640,25182,102093,19896,0.55610456
10,141864,33548,22206,14679,71431,1.05509014
11,48831,26102,4613,8531,9585,1.07197349
12,41803,11995,9250,11361,9197,1.11930784
13,61646,6070,22775,5107,27694,1.41001009
14,67205,16493,16051,12194,22467,1.41373565
15,93846,20690,26766,19717,26673,1.62394873
16,132209,17262,46195,50858,17894,1.66821278
17,121321,59100,13129,19352,29740,1.70903985
18,46429,10901,6850,4295,24383,1.75799681
19,81133,8258,28016,7452,37407,1.81616165
20,56009,4935,27474,6240,17360,1.84577280
21,364723,41595,167157,102639,53332,2.01733392
22,95221,8952,38449,39432,8388,2.09320001
23,224432,40707,75407,62493,45825,2.12568654
24,83646,15736,16428,42796,8686,2.20702551
25,46353,23417,4865,10533,7538,2.43206569
26,118962,57609,12584,16484,32285,2.44749262
27,240872,23768,122825,59246,35033,2.62619225
28,282303,124465,32793,85206,39839,2.68255675
29,230222,48938,67694,52304,61286,2.71233692
30,212759,44396,53299,80744,34320,2.76718031
31,327478,65286,78411,49799,133982,2.94940326
32,94082,15599,27342,12951,38190,2.97307773
33,107126,18620,37473,23172,27861,3.13321372
34,255795,46088,85942,72810,50955,3.19411574
35,137279,35536,22883,62472,16388,3.44913944
36,68383,18133,14511,12441,23298,3.45987418
37,129370,21864,46081,32413,29012,3.48666438
38,43877,22358,3682,5176,12661,3.92429337
39,112077,33461,22814,33106,22696,4.05325672
40,133472,22201,48893,28464,33914,4.21937187
41,50523,16831,9431,11082,13179,4.26374838
42,91895,16327,24805,13076,37687,4.31443085
43,72838,18086,15596,11903,27253,4.36337884
44,138193,52712,22127,28049,35305,4.44228573
45,51261,8035,18483,15126,9617,4.56661063
46,154408,55998,20300,58135,19975,4.59491268
47,343611,105968,64775,111847,61021,4.72443806
48,65133,16883,11354,8027,28869,4.82536439
49,235230,42717,48266,118201,26046,4.89173285
50,130726,57505,14768,17615,40838,4.90387275
51,334576,76472,138077,79403,40624,4.91929820
52,184925,22498,53661,91293,17473,5.03047186
53,328936,107661,57558,103881,59836,5.21813295
54,151906,13382,68260,14366,55898,5.22384049
55,67891,17176,14146,25892,10677,5.27237266
56,43538,11946,5831,3897,21864,5.31673209
57,64022,29030,6741,7966,20285,5.31706991
58,224235,25331,71733,21152,106019,5.38244503
59,172607,71459,14807,13747,72594,5.43071983
60,92857,13315,23336,8613,47593,5.55376423
61,84104,22676,10780,42529,8119,5.70468908
62,133721,12925,71434,23379,25983,5.71905913
63,141676,68400,15957,32999,24320,5.83815168
64,92309,39995,11195,13247,27872,6.00036595
65,359587,131529,44845,44397,138816,6.05057508
66,127769,14856,40861,11006,61046,6.10412745
67,186474,93529,18877,25759,48309,6.23187776
68,516037,61311,189043,53329,212354,6.32401759
69,235533,37125,105654,39038,53716,6.37204049
70,425231,191906,43514,56640,133171,6.41033869
71,94239,50760,8809,14936,19734,6.42783443
72,150815,23859,59689,36392,30875,6.50958751
73,147406,32510,29868,19007,66021,6.57901568
74,38712,16063,3223,2869,16557,6.73141251
75,689584,108999,214645,88407,277533,6.75676591
