event_numbers, total_energy (keV), ch1_energy, ch2_energy, ch3_energy, ch4_energy, time_stamp (sec)
1,84667,26897,9824,8048,39898,0.02555504
2,105800,18044,36924,25635,25197,0.34435544
3,106119,35193,20084,28307,22535,0.51735169
4,103936,17098,29244,12740,44854,0.59372735
5,232491,39434,67838,33729,91490,0.61328363
6,102180,12169,45661,22885,21465,0.87227216
7,54892,13580,10257,7588,23467,1.01786037
8,209662,101695,19082,24983,63902,1.04895061
9,413769,94435,101622,145876,71836,1.11087104
10,80842,27813,8091,6565,38373,1.21782570
11,85789,9319,42068,17173,17229,1.38724165
12,441304,175128,46384,172989,46803,1.44557353
13,78212,32829,10705,20794,13884,1.69488128
14,43561,4397,18362,16845,3957,2.03601524
15,88424,42185,9593,24070,12576,2.14606692
16,283126,34147,90518,25909,132552,2.40350872
17,130211,46192,21994,31901,30124,2.78801010
18,304978,47339,121336,74302,62001,3.09026473
19,151100,26975,29791,78939,15395,3.96767744
20,129914,20583,28988,12424,67919,4.05344618
21,65119,16002,12000,29196,7921,4.60548780
22,90731,7822,43421,30005,9483,4.62531037
23,123617,21214,28603,59863,13937,4.79745029
24,645278,186531,111919,241333,105495,4.99009074
25,58449,11086,14035,26480,6848,5.07695351
26,50520,15851,6399,5240,23030,5.27013602
27,124158,53517,12268,45318,13055,5.27254083
28,116434,24542,34916,25246,31730,5.72988482
29,162534,15548,73927,56361,16698,5.77612133
30,120056,29617,28977,38907,22555,5.98806679
31,156783,71398,14208,56355,14822,6.00329356
32,60471,11945,14132,26682,7712,6.03438326
33,115313,22091,34500,40302,18420,6.13260450
34,77228,14722,22988,26737,12781,6.55884742
35,55301,15094,12999,12654,14554,6.57553059
36,449497,107865,90962,182746,67924,6.59320240
37,196257,100215,20420,46434,29188,6.63542513
38,56188,8093,18702,7617,21776,6.96775309
39,90650,30171,15258,16016,29205,6.98226287
40,65386,28165,8262,10760,18199,7.18374360
41,115074,38416,16790,43620,16248,7.26630949
42,119211,18016,28314,10752,62129,7.79184181
43,161983,82518,15412,22196,41857,8.05514951
44,54502,16342,10116,19822,8222,8.07480804
45,383632,53537,168789,86219,75087,8.19221886
46,415766,44359,177223,143560,50624,8.24771525
47,114232,44286,11309,10839,47798,8.48656651
48,47018,14386,5369,23693,3570,8.91897211
49,188573,79360,15363,77648,16202,8.93908331
50,187165,26059,80198,38929,41979,9.15529635
51,49379,3698,20876,21115,3690,9.32225007
52,576778,202585,76035,70218,227940,9.34335087
53,280607,82302,62292,95320,40693,9.42054373
54,82780,10126,28993,8893,34768,9.42534382
55,323456,89485,65510,58167,110294,9.63696399
56,563007,218726,79778,92607,171896,9.86578342
57,66932,16183,13118,28952,8679,10.08336113
58,249879,57363,68676,58225,65615,10.32898938
59,77522,35877,7097,25988,8560,10.67631795
60,65446,34165,5757,8575,16949,10.72296812
61,225590,108246,26908,40542,49894,10.78065612
62,185714,54345,28874,24710,77785,10.82130953
63,85970,18912,19000,36561,11497,11.02922462
64,71040,23363,13192,19989,14496,11.04715654
65,47533,13077,9949,8427,16080,11.46319143
66,98190,45326,8528,9301,35035,11.51189863
67,73705,12440,22356,28371,10538,11.53694365
68,175960,19934,61575,18140,76311,11.63261470
69,71232,30713,5903,28505,6111,11.75155763
70,451449,81728,109325,49705,210691,11.75761357
71,130260,28197,36643,27405,38015,11.88736682
72,366126,62030,132372,74112,97612,11.92978088
73,206733,42011,58675,39502,66545,12.15033578
74,121467,51017,17228,26427,26795,12.48713052
75,73470,36608,6961,9195,20706,12.63736692
76,104169,17276,38440,26435,22018,12.85100392
77,57918,21619,7415,21265,7619,12.88999546
78,111924,55119,12595,25636,18574,13.30419454
79,49367,8637,12571,22684,5475,13.32086867
80,131495,21515,48274,26712,34994,13.42790474
81,256526,44466,84149,44500,83411,14.06621468
82,55864,12118,16176,14668,12902,14.07162155
83,335737,81549,81410,105873,66905,14.12859186
84,157592,57336,17934,66118,16204,14.48061645
85,58632,8830,17795,23290,8717,14.58365769
86,100717,15764,38662,23360,22931,14.66210508
87,105366,24906,28430,23521,28509,15.59389628
88,197764,40263,38414,22364,96723,15.62618586
89,68339,9659,16795,7113,34772,15.80414434
90,102093,15778,23408,52062,10845,15.90563184
91,91122,21063,24971,24912,20176,16.46391660
92,423940,46663,202899,94436,79942,16.58328561
93,56854,5539,26137,16502,8676,16.58637089
94,126915,44079,22236,26306,34294,16.67298049
95,355410,151157,33462,35828,134963,16.85575706
96,96717,12098,44634,18984,21001,17.02379155
97,171184,45021,32513,27053,66597,17.21969362
