event_numbers, total_energy (keV), ch1_energy, ch2_energy, ch3_energy, ch4_energy, time_stamp (sec)
1,186587,45102,47756,55066,38663,0.00791400
2,128776,41942,17032,15648,54154,0.00900108
3,186781,40765,48893,57881,39242,0.00901860
4,231710,38956,63994,99633,29127,0.01384621
5,33807,13161,2895,15449,2302,0.01815821
6,67961,19117,11528,28517,8799,0.03372970
7,302739,67308,56765,141636,37030,0.04186902
8,292233,85639,36579,141613,28402,0.05120078
9,104332,48118,12108,26416,17690,0.05297172
10,311936,141828,36820,85724,47564,0.06817950
11,309132,46389,80318,147991,34434,0.07184647
12,84612,43501,8708,16572,15831,0.07359431
13,241250,88325,31442,90694,30789,0.07406088
14,148282,26639,38229,62154,21260,0.07528871
15,58818,19934,10169,14702,14013,0.08091334
16,236302,84506,27145,99633,25018,0.08511239
17,151150,39433,20481,14180,77056,0.08900989
18,286962,82201,47991,116594,40176,0.09184308
19,414150,66236,149860,74823,123231,0.11307340
20,139996,51275,15370,14466,58885,0.12907002
21,281349,65210,58138,117012,40989,0.13460546
22,293299,85163,49977,114689,43470,0.13691534
23,129327,56449,12162,12821,47895,0.14953160
24,189444,49201,45097,53939,41207,0.15942560
25,485460,106675,125469,164556,88760,0.19962587
26,279071,48517,60134,28806,141614,0.20163231
27,141740,24967,28022,74911,13840,0.22677584
28,235604,79374,28210,24724,103296,0.23010187
29,108832,14425,31803,51072,11532,0.23195800
30,461814,62336,142239,207385,49854,0.24605410
31,213272,113128,21405,36915,41824,0.24904085
32,70601,28606,6818,6792,28385,0.25681316
33,283302,121985,37738,73357,50222,0.27045955
34,300758,78435,49201,137250,35872,0.27575622
35,144247,14903,75704,29137,24503,0.27931731
36,510748,69935,173004,206280,61529,0.29727750
37,171523,38277,32054,80842,20350,0.30858931
38,56218,15135,9866,24438,6779,0.31840731
39,214027,31898,76391,73379,32359,0.31843830
40,75726,8122,37481,19960,10163,0.32206837
41,119109,13279,60046,24009,21775,0.32674862
42,98167,44615,12059,22462,19031,0.32799209
43,172588,65414,22881,23630,60663,0.34108990
44,522011,217628,73084,95704,135595,0.35175413
45,246518,80495,45520,60641,59862,0.35301578
46,74857,6414,22565,4476,41402,0.35302822
47,87092,24783,15585,33901,12823,0.36655494
48,126559,38575,18638,52791,16555,0.36722511
49,257436,65930,64772,59805,66929,0.36763977
50,314368,149174,38185,70882,56127,0.37079253
51,226004,19848,96893,21106,88157,0.37143786
52,80642,11890,32864,14699,21189,0.37629763
53,149066,74260,16100,23814,34892,0.38648470
54,136886,27439,37288,22543,49616,0.38826576
55,106857,24867,20127,13840,48023,0.40953802
56,148807,25224,44342,21611,57630,0.42036814
57,298932,37386,137168,54369,70009,0.42551016
58,372646,87999,66446,172053,46148,0.42878195
59,125527,47375,11282,56654,10216,0.44019940
60,145810,71159,13154,44539,16958,0.44159668
61,204838,31521,76529,61514,35274,0.46181208
62,230069,37539,72010,57351,63169,0.46402301
63,129261,13136,50589,52749,12787,0.46839200
64,169935,22899,66689,24280,56067,0.47159983
65,266391,136594,26382,55552,47863,0.47214315
66,130952,59413,16244,22663,32632,0.47396909
67,97283,30691,17980,32111,16501,0.49638743
68,77845,40694,6996,20258,9897,0.49976066
69,57026,8591,14168,28851,5416,0.50575489
70,326484,112974,34936,147602,30972,0.50694190
71,431706,202631,50092,107580,71403,0.52296526
72,199208,104299,20756,41441,32712,0.52608814
73,72924,31509,9395,19080,12940,0.53095664
74,81822,43963,7833,13497,16529,0.53402435
75,98109,28557,15116,42812,11624,0.53446264
76,74244,27659,8272,30252,8061,0.54083630
77,107528,21724,28025,40628,17151,0.54186677
78,87935,13925,34233,18122,21655,0.54493991
79,151272,19164,63204,21763,47141,0.56466277
80,83949,16768,22467,13693,31021,0.57420746
81,68884,13280,15343,7918,32343,0.58533346
82,200965,19788,87298,21052,72827,0.58669658
83,232828,114015,24603,33813,60397,0.60538133
84,64737,7846,18876,31695,6320,0.60906059
