event_numbers, total_energy (keV), ch1_energy, ch2_energy, ch3_energy, ch4_energy, time_stamp (sec)
1,103815,26909,23138,20254,33514,0.07343388
2,114775,13425,48907,36116,16327,0.07816730
3,114669,48256,11425,43343,11645,0.21634761
4,103578,26399,20381,16153,40645,0.25681520
5,123858,25564,21256,11651,65387,0.33005628
6,73676,9021,21554,36268,6833,0.38016620
7,334973,88665,74140,63879,108289,0.39757693
8,54756,13090,9207,6043,26416,0.45762732
9,46964,9366,12951,16564,8083,0.58029404
10,80031,11437,29884,12586,26124,0.64698142
11,92675,34310,13549,13871,30945,1.05762359
12,79626,9492,30186,9703,30245,1.91836135
13,105418,33939,18716,18703,34060,2.41989081
14,58100,11074,11786,5846,29394,2.52157810
15,114602,26037,23831,47844,16890,2.59250756
16,94702,37596,13496,15140,28470,2.60042807
17,67730,10301,20449,29190,7790,2.73183603
18,55313,9846,13260,6228,25979,3.28810496
19,80566,8703,26210,6772,38881,3.69263229
20,296002,101527,52697,69392,72386,3.86438428
21,61986,22670,10239,13616,15461,3.98999495
22,93525,37211,10733,11697,33884,4.07689601
23,58820,7900,24034,9205,17681,4.19491594
24,84589,21459,12688,8679,41763,4.37742070
25,124169,12715,57076,14872,39506,4.80628894
26,339922,159104,36546,45858,98414,5.11738791
27,99498,52484,9956,20631,16427,5.18877088
28,201639,19077,100716,56873,24973,5.20386226
29,206842,25381,95362,36937,49162,5.24997430
30,143030,73864,13931,35409,19826,5.29754697
31,140552,25098,46940,34482,34032,5.37882118
32,130700,41030,21935,47322,20413,5.43151420
33,183122,14762,76732,15482,76146,5.60424838
34,80689,23494,15917,14570,26708,5.64446654
35,50589,4643,26667,11678,7601,5.75818412
36,128451,11883,48118,11035,57415,6.44918184
37,251207,24311,125852,65604,35440,6.94725889
38,80392,33393,8405,28537,10057,6.95538800
39,131357,60293,14483,18374,38207,7.05498653
40,280035,61799,56711,125662,35863,7.07569757
41,97987,14251,35486,31662,16588,7.19235623
42,57187,17066,6884,5623,27614,7.32047647
43,108880,32620,12938,53493,9829,7.48007390
44,357552,34720,158470,125911,38451,7.48086847
45,84925,28295,10905,9814,35911,7.49030726
46,145468,41294,22732,63041,18401,7.68811053
47,109414,30542,16367,49849,12656,7.81320629
48,89866,11623,24753,8314,45176,7.95557507
49,100878,22148,15591,53747,9392,8.13584833
50,145357,53530,13610,65477,12740,8.17743713
51,138413,25657,46397,36109,30250,8.25737317
52,315623,131561,27106,28018,128938,8.44269209
53,104467,20521,30979,19864,33103,8.79355021
54,56016,19159,5949,4355,26553,8.89479786
55,164959,82329,18707,36865,27058,9.09681835
56,185083,46482,41016,32406,65179,9.21633985
57,79327,23246,14673,28958,12450,9.22390538
58,181386,49464,41177,49676,41069,9.29558319
59,100895,20898,18230,50852,10915,9.33274015
60,70679,16227,10736,37242,6474,9.38396499
61,242894,25746,124400,48557,44191,9.79913771
62,60787,6265,31326,12445,10751,9.97787333
63,72961,21871,14806,18543,17741,10.22091789
64,157230,49903,21658,66901,18768,10.46699901
65,119893,13812,55047,17461,33573,10.53715262
66,71708,24674,7282,5799,33953,10.70109537
67,435819,158850,62917,150793,63259,10.95121158
68,370367,38247,177169,98030,56921,11.21885058
69,114864,52391,13505,29388,19580,11.61570418
70,49307,13373,10120,17689,8125,11.86092153
71,281127,40751,105018,93697,41661,11.89858554
72,187389,44945,48363,55400,38681,11.97796395
73,103384,9170,49890,32869,11455,13.22215715
74,134292,37511,21922,58493,16366,13.22790891
75,384033,80067,95717,146250,61999,13.26151495
76,338147,35398,164718,88070,49961,13.43327381
77,145098,39851,18779,14404,72064,13.46259054
78,158479,23251,37579,15371,82278,13.48865374
79,44618,4040,23183,11207,6188,13.49388289
80,46054,2377,21279,18438,3960,13.62322155
81,108008,21393,19195,57204,10216,13.96225343
82,99799,44641,11366,29936,13856,13.96799359
83,202360,19430,104650,29712,48568,14.03034630
84,51028,16196,9251,16866,8715,14.05376998
85,400205,83575,162051,83862,70717,14.20581649
86,76336,32514,6229,6525,31068,14.21160287
87,83464,12426,31753,24198,15087,14.56324981
88,170394,34729,48234,32824,54607,14.59465686
89,178523,25667,50914,82074,19868,14.68606181
90,113177,49439,14870,23985,24883,14.91183161
91,297142,41442,82335,29493,143872,15.19270806
92,265725,58125,74250,67146,66204,15.37240051
93,79018,17021,18553,31585,11859,15.42267151
94,301332,28175,140419,97622,35116,15.46071459
95,760012,115429,252909,91961,299713,15.62776618
96,50281,12674,10318,7253,20036,16.12101907
97,158548,59774,14611,69894,14269,16.22450819
98,340940,37144,168550,53998,81248,16.26987175
99,257974,32851,112379,68457,44287,16.32603038
100,136061,16354,40759,12091,66857,16.48534133
101,80174,41562,7613,19141,11858,16.56846953
102,58201,5938,28520,7706,16037,16.67580361
103,149914,32835,39315,50509,27255,16.92890577
104,72125,23372,9199,32029,7525,16.99250269
105,58952,20498,5918,4877,27659,17.15765743
106,452520,157385,76970,172215,45950,17.23012221
107,83071,6715,39744,8991,27621,17.71364636
108,67617,32430,6125,7544,21518,18.44116431
109,333928,34786,141875,120705,36562,18.87663359
110,255183,66541,43280,113318,32044,18.97044514
111,515480,120528,117484,187214,90254,19.24914857
112,92051,35287,8426,40077,8261,19.26701470
113,80975,17512,20980,28517,13966,19.77431438
114,187988,24946,50559,17887,94596,20.09523153
115,227881,82149,38183,54393,53156,20.59201370
116,99696,27348,17456,41911,12981,20.93240238
117,256570,27072,91468,113536,24494,21.03526713
118,52404,18329,9045,11593,13437,21.62634008
119,63399,15065,15799,21264,11271,21.66365075
120,136305,26767,44784,36283,28471,21.77230024
121,59581,10914,18631,9440,20596,21.88050916
122,172521,28427,37519,17227,89348,21.95189263
123,87041,27838,17311,18715,23177,22.04255695
124,137660,15564,64937,21576,35583,22.06313222
125,44100,7108,14997,14329,7666,22.35991386
126,45715,16064,4394,3782,21475,22.64637639
127,121696,21271,29694,15292,55439,22.97288383
128,90441,17009,20121,10602,42709,23.33905269
129,369405,68146,124520,85013,91726,23.44760124
130,124339,39561,17003,14940,52835,23.80666904
131,152825,16508,75318,23232,37767,23.91936023
132,100887,41719,9254,9161,40753,24.14888086
133,63211,14372,9974,32544,6321,24.31346200
134,89520,19597,24718,22847,22358,24.39385938
135,70152,24074,11163,23736,11179,24.44311687
136,58774,11811,12980,6780,27203,25.18469707
137,178443,14219,75020,13798,75406,25.24046138
138,224116,116901,23163,41495,42557,25.58208862
139,110068,36185,21299,24575,28009,26.01301962
140,211267,42836,65531,53805,49095,26.04026966
141,115091,44616,13955,14654,41866,26.11655202
142,85058,23278,11494,41466,8820,26.55060292
143,103833,9933,53230,27508,13162,26.88831184
144,135186,47322,23078,32005,32781,26.97293652
145,215724,42080,38277,112819,22548,27.41588808
146,73757,10551,29433,12126,21647,27.64916145
147,152006,20985,39031,15690,76300,28.18418888
148,252472,80921,47996,73011,50544,28.62248676
149,294438,35068,140604,66273,52493,28.90336576
150,65970,8354,29390,13279,14947,29.05069740
151,207478,74839,30602,31675,70362,29.06009373
152,48966,17713,4871,4528,21854,29.19114846
153,55296,27179,5318,6822,15977,29.20576123
154,107256,10795,36498,9259,50704,29.61818148
155,61768,9052,14785,32309,5622,29.66696699
156,48741,8064,16344,7726,16607,29.80292155
157,92674,11737,25751,46019,9167,29.93602086
158,107436,23237,24030,45855,14314,30.00863979
159,301751,45000,98034,42402,116315,30.03426264
160,87842,27497,10534,8649,41162,30.23570112
161,146811,14789,68712,43732,19578,30.65931176
162,86484,29459,8563,41082,7380,30.74337220
163,133787,14855,64840,28284,25808,31.06776855
164,283086,83570,40050,126424,33042,31.31838653
165,121602,27161,24533,54298,15610,31.52798766
166,52383,14472,8476,23705,5730,31.63954717
167,350555,53808,126623,114676,55448,31.69752674
168,83815,18788,18846,33934,12247,31.85140691
169,116493,11164,58653,32008,14668,32.35654156
170,243567,29245,83746,26998,103578,32.48074839
