event_numbers, total_energy (keV), ch1_energy, ch2_energy, ch3_energy, ch4_energy, time_stamp (sec)
1,132241,12390,59016,14545,46290,0.03614230
2,60455,4723,24888,4375,26469,0.05998152
3,108734,30978,18244,15611,43901,0.10841098
4,127374,38245,24781,39631,24717,0.11161852
5,132261,26332,41139,34181,30609,0.12369479
6,45902,10461,10506,18992,5943,0.14797485
7,175609,24323,57192,23750,70344,0.16051117
8,187962,87787,17116,63935,19124,0.16206047
9,115769,18318,44204,22558,30689,0.18129159
10,196096,69078,23172,21554,82292,0.18131237
11,65509,11662,15674,8274,29899,0.18770639
12,55384,11937,9501,5223,28723,0.19002946
13,208436,17713,87064,18186,85473,0.22682066
14,54871,23460,5090,20893,5428,0.25414168
15,63240,4379,33217,7979,17665,0.25993991
16,409375,58716,120268,183089,47302,0.26069373
17,172321,16528,72894,16887,66012,0.26754378
18,46312,4280,24628,7722,9682,0.26890548
19,109627,17847,23494,56597,11689,0.27542147
20,87813,25820,15243,33676,13074,0.29490589
21,313291,72827,73420,53331,113713,0.29737569
22,57359,8946,23051,11245,14117,0.29877293
23,59177,12897,15554,20520,10206,0.32290770
24,111786,25664,23227,46415,16480,0.32612143
25,64527,14502,15865,23997,10163,0.33146823
26,66620,6929,28096,8263,23332,0.33256511
27,88626,7243,37090,6944,37349,0.33658068
28,272351,41754,110789,66332,53476,0.39324078
29,82242,27536,14442,23908,16356,0.39442036
30,630121,216575,99541,213215,100790,0.45164043
31,123457,30167,17983,62544,12763,0.45206601
32,38252,24285,1463,1651,10853,0.45207069
33,164692,60903,20642,61269,21878,0.45525716
34,58881,4348,27150,22056,5327,0.46654055
35,254343,44598,84908,58167,66670,0.50080504
36,387979,165488,43261,49949,129281,0.51311251
37,180929,18366,79163,62673,20727,0.52801469
38,46729,8376,8754,4014,25585,0.52932139
39,233521,48258,51221,31378,102664,0.53426141
40,64383,9601,18628,28793,7361,0.53759767
41,67682,6868,29828,23432,7554,0.56360337
42,543326,145206,94773,74928,228419,0.58543246
43,146314,37013,24277,17249,67775,0.58792816
44,54220,8021,14390,5405,26404,0.59640121
45,55934,16140,10906,19506,9382,0.59950865
46,84022,18684,22563,17257,25518,0.60108996
47,58713,8232,23377,8670,18434,0.60449801
48,96300,8806,49469,23932,14093,0.60744720
49,64906,5859,34089,9814,15144,0.65121693
50,146999,18737,43146,69961,15155,0.65715777
51,80868,7652,42910,12533,17773,0.67078135
52,289643,26770,135182,94374,33317,0.67724249
53,71905,11945,24514,13793,21653,0.69286807
54,213228,64073,29484,78570,41101,0.70228028
55,250313,50787,77879,56024,65623,0.73497384
56,184541,94700,18066,44787,26988,0.77008060
57,48214,10911,7552,24896,4855,0.82938197
58,158489,25762,33882,82826,16019,0.86129844
59,63283,9108,20232,7382,26561,0.87908376
60,62977,8481,27047,14629,12820,0.88747582
61,51388,13323,11610,10939,15516,0.89388553
62,192754,17331,77270,16291,81862,0.89595114
63,74421,19704,13558,30714,10445,0.90630703
64,295564,142543,29135,39189,84697,0.93094952
65,64750,33318,6103,16866,8463,0.94866127
66,70500,27546,7685,27814,7455,0.95892291
67,123986,24287,37617,40128,21954,0.96653292
68,54043,5971,21258,6035,20779,0.97297530
69,203321,23491,90252,30758,58820,0.97598089
70,208412,24417,100405,38234,45356,0.98629670
71,205162,86501,29702,43962,44997,1.01903790
72,159752,34801,38885,55760,30306,1.03177337
73,232439,61881,55450,54077,61031,1.05213445
74,50375,9521,13480,20185,7189,1.06124824
75,67455,29166,5800,5850,26639,1.06572785
76,128129,30678,25376,53283,18792,1.06627406
77,308713,91216,63975,61623,91899,1.07350136
78,192549,59109,35398,32481,65561,1.08926408
79,45833,7221,17600,9130,11882,1.09216463
80,58607,5414,23142,4926,25125,1.09530024
81,203508,23655,98034,37050,44769,1.10050935
82,54495,22298,4651,4232,23314,1.10983962
83,179862,64800,33575,36033,45454,1.11063809
84,84701,6856,37074,7733,33038,1.13359066
85,445122,129713,70188,186581,58640,1.13770974
86,328121,79064,85794,80284,82979,1.14942541
87,62373,6975,28607,16693,10098,1.16063214
88,68310,15341,17730,22269,12970,1.18009744
89,60436,17315,11941,21382,9798,1.18257988
90,147666,62214,20610,26747,38095,1.23343087
91,59312,4578,23963,25268,5503,1.23944261
92,160785,27877,56892,41598,34418,1.23981948
93,192695,51426,36209,74286,30774,1.25566769
94,143889,15384,70673,19424,38408,1.26467422
95,46312,16065,4569,21783,3895,1.27854341
96,208574,76606,31269,35431,65268,1.28276809
97,84263,14936,16934,7825,44568,1.28393024
98,94792,19996,26906,27139,20751,1.29473001
99,258292,23065,101796,109779,23652,1.32533811
100,50427,3957,22523,4444,19503,1.32569483
101,193053,19543,88493,62436,22581,1.32583690
102,49432,11843,7524,25705,4360,1.34927676
103,482457,166728,86668,121823,107238,1.36683260
104,295556,138935,27668,94683,34270,1.37227984
105,74653,11037,28388,13559,21669,1.37780591
106,186348,54773,36180,33461,61934,1.39141581
107,188030,31065,54251,24277,78437,1.41751389
108,168483,31645,34253,17609,84976,1.41787444
109,116372,32469,22048,18025,43830,1.44315978
110,129126,13915,58289,40374,16548,1.44771473
111,70534,6699,37634,14642,11559,1.46269468
112,469773,70823,143454,63866,191630,1.46437284
113,46084,4340,18224,19803,3717,1.46902312
114,165067,66574,24778,31320,42395,1.48291894
115,62239,7981,22493,24646,7119,1.50746166
116,61620,6990,23588,7038,24004,1.50970943
117,52010,25457,4612,6151,15790,1.51358646
118,146413,58277,12904,11978,63254,1.53854924
119,235023,72430,31456,110743,20394,1.54769434
120,157746,69041,12503,13923,62279,1.58375039
121,61538,7209,26203,19085,9041,1.59503644
122,511178,71861,174014,198141,67162,1.60615634
123,262030,63067,54547,40964,103452,1.60963223
124,391626,95802,101390,104279,90155,1.61427466
125,44326,6252,13061,19886,5127,1.62570885
126,352004,149257,36094,40177,126476,1.63281314
127,44431,23452,4172,9381,7426,1.63651201
128,331605,131965,41214,43551,114875,1.66735994
129,50842,11541,13594,10361,15346,1.66961772
130,138602,52983,12657,60558,12404,1.67083219
131,40185,5496,13337,16992,4360,1.67461128
132,313994,46197,120772,96805,50220,1.67878405
133,188548,19454,96226,32879,39989,1.68877109
