event_numbers, total_energy (keV), ch1_energy, ch2_energy, ch3_energy, ch4_energy, time_stamp (sec)
1,64424,13664,10277,34663,5820,0.06327791
2,39058,14833,3523,2844,17858,0.11517298
3,150534,31554,28530,73437,17013,0.63564036
4,111035,46122,14570,16258,34085,0.80213701
5,66923,7738,28983,10190,20012,1.01965817
6,86699,10965,36809,13768,25157,1.21057014
7,311301,61275,96252,83711,70063,1.41520278
8,66777,16273,17159,19495,13850,1.64823165
9,59951,29917,5453,17451,7130,2.12150638
10,75590,17780,14368,34072,9370,2.22339448
11,120823,12508,57803,19462,31050,2.24470848
12,58316,11100,15078,24037,8101,2.77781728
13,159620,17453,81903,33981,26283,2.79105513
14,41425,15978,3708,3208,18531,3.01738981
15,98843,16618,29636,14309,38280,3.13414503
16,510593,221499,61014,151604,76476,3.34552899
17,130081,14589,59672,18849,36971,3.43011438
18,393566,46874,172210,117494,56988,3.46333776
19,91135,12964,24151,44638,9382,3.47763075
20,92306,16702,30658,18513,26433,3.52986567
21,116479,15186,30768,58984,11541,3.76640298
22,85877,21635,13757,9456,41029,3.83672824
23,241047,108225,24742,79272,28808,3.94082746
24,189972,19899,77868,70896,21309,4.24308067
25,127415,25432,34459,21179,46345,4.40150758
26,119578,41372,19332,21009,37865,4.40666384
27,70905,10488,22984,10102,27331,4.43009815
28,333373,33909,161836,90309,47319,4.61557128
29,521128,198759,87038,105615,129716,4.70666617
30,130897,16697,34057,67437,12706,4.97190900
31,78588,21807,9734,6971,40076,4.99854740
32,291912,47216,105495,93041,46160,5.43351291
33,94210,12576,32341,38670,10623,5.54424496
34,280922,86003,53180,50107,91632,6.07920148
35,92632,27000,18484,17810,29338,6.33810317
36,227833,32936,90406,41108,63383,6.51132972
37,77994,35545,9651,14829,17969,6.65986029
38,141505,65235,13570,47414,15286,6.66810241
39,257716,109807,22384,102033,23492,6.93670653
40,46902,12784,6502,23038,4578,7.04597094
41,149003,35609,38186,43998,31210,7.39222420
42,424080,92969,118256,123901,88954,7.49135177
43,148979,16013,73374,20585,39007,7.54317172
44,62569,9564,24489,15030,13486,8.11048881
45,85915,35501,11886,13167,25361,8.14610539
46,38658,3157,16310,2746,16445,8.24387352
47,63271,15850,11513,8631,27277,8.27538268
48,56348,6226,22957,6463,20702,8.30983281
49,228646,76726,34286,33860,83774,8.36203440
50,127861,41542,22270,41792,22257,8.46977421
51,296255,118573,27158,25570,124954,8.55155757
52,87244,40588,7784,8611,30261,8.69833904
53,135031,50960,21629,27979,34463,8.70657107
54,104163,26596,26103,29656,21808,9.01990668
55,85069,26450,16050,27127,15442,9.06655869
56,50529,5000,17898,4488,23143,9.13872165
57,405130,57118,159133,66172,122707,9.47311930
58,110449,10511,43013,10631,46294,11.10160493
59,289981,40938,91777,36470,120796,11.19871700
60,131894,38045,20490,57416,15943,11.33986435
61,317616,33077,160280,63945,60314,11.40479089
62,61652,15532,14673,21445,10002,11.47798217
63,65218,8150,27565,18758,10745,11.51587323
64,170864,17918,77913,54125,20908,11.78461237
65,74855,21592,15830,21408,16025,11.79459544
66,50567,13085,8389,5658,23435,12.01748741
67,112990,21240,34392,37765,19593,12.14520696
68,166969,19366,67802,57684,22117,12.35221235
69,61696,25420,8145,10446,17685,12.55339542
70,100620,43692,12320,27884,16724,12.80402217
71,161828,32962,46251,52023,30592,12.84694135
72,257094,113052,32814,67340,43888,12.84878294
73,129083,12957,65258,33287,17581,13.04198240
74,89046,29041,17438,19152,23415,13.18042226
75,189222,44266,29428,95619,19909,13.18428878
76,160931,21656,66381,26655,46239,13.49287012
77,248732,77082,33612,109894,28144,13.58745898
78,159206,58453,18867,64166,17720,13.76461276
79,143923,45522,28739,38916,30746,13.79508546
80,122351,54675,15468,26745,25463,13.85508129
81,208046,63380,30883,87119,26664,14.19321717
82,100922,10055,34959,8473,47435,14.59001922
83,49559,26499,4773,8193,10094,14.66180791
84,55279,25013,5015,5401,19850,14.93598157
85,371901,107681,75127,116520,72573,15.22852595
86,49621,3087,25067,6017,15450,15.37026722
87,112531,11834,54893,16348,29456,15.55300716
88,110799,8963,46320,46630,8886,15.82636035
89,70593,5818,36089,10487,18199,15.86959122
90,99898,53260,9702,17640,19296,16.21311501
91,55699,5806,27063,8083,14747,16.54907704
92,79780,19128,15220,34744,10688,16.81852755
93,84382,8591,44411,17321,14059,16.87350622
94,122105,15439,53006,35359,18301,16.91201652
95,108624,36240,18938,21525,31921,17.04498475
96,86376,16078,17352,8607,44339,17.45505572
97,124369,12581,55806,13182,42800,18.36666987
98,48222,8522,16894,9668,13138,18.47796877
99,113998,23711,33686,26843,29758,18.83673730
100,67620,17406,15402,23502,11310,18.90018243
101,164520,67895,21907,26269,48449,18.90152672
102,169621,16291,88595,39231,25504,19.01872597
103,78830,37949,8287,11256,21338,19.50842422
104,236888,57045,56283,83081,40479,19.57099357
105,53766,6848,15410,4515,26993,19.97787983
106,51468,11063,9719,25293,5393,20.03369719
107,49271,6061,22184,10009,11017,20.21126854
108,51911,22963,6662,9681,12605,20.30059731
109,62419,20911,10364,11731,19413,20.30730399
110,107136,16065,38063,36822,16186,20.54229558
111,320438,72334,83975,99703,64426,20.65542081
112,136108,14618,57415,47545,16530,21.21113862
113,51451,5513,24280,14346,7312,21.21536778
114,108221,18609,37575,25881,26156,21.60636827
115,170016,35637,49957,49384,35038,21.85069995
116,44565,5063,21539,9915,8048,22.10442602
117,82609,31475,9894,9809,31431,22.24447026
118,50546,23318,4203,18649,4376,22.24841765
119,83079,35792,9827,11549,25911,22.30186156
120,172638,63633,16999,15783,76223,22.40352885
121,267232,37266,68177,134319,27470,22.64208039
122,188143,20076,95859,33714,38494,22.79503662
123,126474,25702,39320,27035,34417,22.80067072
124,95264,40262,9366,35669,9967,22.81160116
125,67507,23521,10459,10551,22976,22.90558007
126,131118,52306,12505,54115,12192,23.05640589
127,403742,50798,184062,81032,87850,23.24305355
128,44659,18856,3465,19213,3125,23.80438202
129,39775,3995,11654,3382,20744,23.86549097
130,146326,55434,14694,62143,14055,24.25302827
131,47354,16828,7922,9608,12996,25.01430569
132,75859,6438,31213,5673,32535,25.09550419
133,71696,16057,20115,16222,19302,25.20625416
134,82985,5687,35451,34573,7274,25.41443357
135,53742,10610,9688,28857,4587,25.49457645
136,70315,11314,26491,17436,15074,26.14302465
137,96782,38687,9032,40070,8993,26.49634337
138,533625,90308,193698,122974,126645,26.59455216
139,68017,9252,28216,18519,12030,26.60244458
140,88732,21988,19026,33404,14314,26.67643907
141,123858,11536,62890,15797,33635,26.68451327
142,79928,7931,40769,19626,11602,26.71942296
143,73701,20930,14741,24485,13545,26.80696110
144,71889,33220,7829,10038,20802,27.01704949
145,168132,77029,17929,51569,21605,27.09894901
146,103814,13458,45139,18497,26720,27.34070053
147,59242,6143,26695,7707,18697,27.82265587
148,80467,12968,27953,14741,24805,27.84394215
149,50267,4398,26398,12211,7260,27.98799189
150,123368,20017,45306,27643,30402,28.04058125
151,165721,40638,42698,40515,41870,28.13405561
152,59023,5989,30273,12283,10478,28.17745265
153,50012,13869,10213,17318,8612,28.94909106
154,56573,8312,22997,11997,13267,29.26093614
155,75055,11366,22480,32291,8918,29.55956225
156,261106,110021,37258,45542,68285,29.78702727
157,76746,28537,7802,7384,33023,29.86600720
158,373252,136431,40911,34845,161065,29.86849353
159,142182,29706,38283,26160,48033,30.01211891
160,123889,26187,20819,12393,64490,30.06472031
161,96384,23897,14197,9287,49003,30.22559777
162,85104,16385,27120,21126,20473,30.25465444
163,154502,18087,74159,25572,36684,30.60979948
164,65810,13982,16751,10856,24221,30.63414242
165,64114,12167,12614,5616,33717,30.63538824
166,55507,9043,11842,29628,4994,30.66261544
167,139690,41810,16804,67132,13944,30.66855129
168,159302,42359,37832,34237,44874,30.71371325
169,183065,20741,61418,18041,82865,31.12562072
170,366662,52933,153216,68481,92032,31.54644250
171,124591,39045,22906,39932,22708,31.58740730
172,317862,119175,46577,50397,101713,31.59658249
173,99426,45052,11524,27001,15849,31.79356031
174,99778,17535,31508,16500,34235,31.81478601
175,134911,31625,34680,27612,40994,31.86957943
176,104653,30626,17972,40735,15320,31.87279953
177,157043,48040,18684,15413,74906,32.24796919
