event_numbers, total_energy (keV), ch1_energy, ch2_energy, ch3_energy, ch4_energy, time_stamp (sec)
1,68277,12941,21816,19948,13572,0.00460108
2,246816,86405,27608,23356,109447,0.00520737
3,713317,287423,96302,135848,193744,0.01357900
4,218479,26291,98573,59067,34548,0.03634675
5,139422,35632,31695,45664,26431,0.03753897
6,105386,12682,48979,21696,22029,0.04634373
7,50710,5568,16939,4287,23916,0.04719741
8,141949,17525,57605,20398,46421,0.04760485
9,149192,60143,22844,28328,37877,0.05106869
10,154051,40505,33545,52131,27870,0.06117080
11,98492,16253,20919,9115,52205,0.06497057
12,125941,12984,51673,45523,15761,0.08485171
13,158815,20940,65749,26049,46077,0.10026139
14,56643,11351,15692,9076,20524,0.10292147
15,54345,6660,18928,5394,23363,0.10972643
16,90600,14871,32202,24694,18833,0.11257264
17,92930,16847,31285,23647,21151,0.13933912
18,97030,9272,45250,11338,31170,0.14035398
19,50505,5572,21647,15500,7786,0.14180555
20,83892,8169,33724,33729,8270,0.14673465
21,173714,31182,51268,26296,64968,0.15828831
22,59895,5852,26211,7060,20772,0.16609001
23,60477,12759,13978,25566,8174,0.17614615
24,134323,50849,20172,40787,22515,0.18558935
25,94735,18868,27175,16680,32012,0.18582649
26,81821,28053,14444,20983,18341,0.18934111
27,130471,16962,42230,57226,14053,0.19085174
28,59098,13370,16082,12998,16648,0.19264542
29,151716,68282,13383,56150,13901,0.20425268
30,82236,21986,10667,7923,41660,0.22530846
31,157428,59293,22922,51464,23749,0.22742796
32,246538,24887,128675,46196,46780,0.25444614
33,60501,16737,9592,27156,7016,0.27026631
34,220112,50024,60585,48685,60818,0.27591103
35,59485,25931,7029,16524,10001,0.27603796
36,96314,47770,10699,21480,16365,0.28513907
37,111281,25636,25667,24949,35029,0.28668763
38,249635,30997,116471,40986,61181,0.30503500
39,278518,23401,116061,25425,113631,0.30997412
40,163414,17923,83574,33298,28619,0.31214495
41,101480,21837,29178,27070,23395,0.31438379
42,37867,13777,3483,17723,2884,0.33000644
43,54177,14626,11640,17140,10771,0.33969985
44,95944,22880,15718,46894,10452,0.35750983
45,57885,14225,13903,11435,18322,0.38525527
46,163636,15566,86688,35759,25623,0.39955368
47,127532,32669,28091,22548,44224,0.41478860
48,216492,29475,90549,64889,31579,0.41903902
49,74002,18822,16968,24479,13733,0.41976775
50,225194,25095,80323,96480,23296,0.42193608
51,140796,41009,27729,25387,46671,0.43185194
52,39057,11384,7194,4927,15552,0.43635153
53,58425,5727,27612,18195,6891,0.43833019
54,146243,17161,70655,33972,24455,0.45584505
55,214316,82477,20290,19271,92278,0.47061412
56,192473,46483,45544,67719,32727,0.47822373
57,218449,37089,77404,56582,47374,0.50908491
58,104966,11453,53655,23224,16634,0.50927811
59,175185,40122,27335,89192,18536,0.51283742
60,140216,72427,14799,27625,25365,0.51682457
61,109467,55459,10922,16059,27027,0.52121617
62,68437,6888,23097,5683,32769,0.52701294
63,227478,97139,19904,90041,20394,0.53041217
64,48322,18260,4919,4834,20309,0.54267483
65,195868,22389,79082,69589,24808,0.56529951
66,60746,13211,17673,13780,16082,0.57146614
67,52937,18090,5480,24601,4766,0.57319092
68,127451,53704,18546,26223,28978,0.57457467
69,55916,25745,4669,5323,20179,0.58103453
70,55933,10393,15968,21177,8395,0.58846545
71,51788,13944,8915,21955,6974,0.59960240
72,318435,145828,30018,37047,105542,0.60709208
